着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,3,5,キカオクベシ,牝3,55.0,野中,1:24.3,,7,23.7,35.8,13-13,美浦根本,450(-10),1,1400,ダート,小雨,重
2.0,4,8,ミュークチェルシー,牝3,55.0,吉田豊,1:24.4,1,2,3.0,37.3,2-2,美浦稲垣,462(+6),1,1400,ダート,小雨,重
3.0,2,4,ミートザターゲット,牝3,52.0,▲石神道,1:24.4,ハナ,8,32.5,37.1,4-3,美浦森一,438(+10),1,1400,ダート,小雨,重
4.0,1,2,ラヴィーズドリーム,牝3,52.0,▲遠藤,1:24.5,クビ,13,127.4,35.9,13-13,美浦伊藤伸,464(+6),0,1400,ダート,小雨,重
5.0,5,10,ラウレア,牝3,55.0,丸山元,1:24.6,1/2,15,258.3,37.0,8-7,美浦伊藤大,438(+6),0,1400,ダート,小雨,重
6.0,7,14,グルーヴィーオン,牝3,55.0,原,1:24.6,クビ,5,11.4,37.4,3-3,美浦小手川,472(0),0,1400,ダート,小雨,重
7.0,8,15,マオノクラッシュ,牝3,55.0,団野,1:24.7,クビ,1,3.0,37.3,6-6,美浦黒岩,490(0),0,1400,ダート,小雨,重
8.0,8,16,エリュテイア,牝3,55.0,木幡初,1:25.0,2,11,81.3,36.6,9-11,美浦深山,480(-2),0,1400,ダート,小雨,重
9.0,4,7,サツキレジーナ,牝3,55.0,丸田,1:25.1,クビ,10,60.5,36.3,15-15,美浦石栗,426(+6),0,1400,ダート,小雨,重
10.0,7,13,タマモクロッシェ,牝3,55.0,武藤,1:25.1,ハナ,14,129.4,37.1,9-9,美浦水野,450(+6),0,1400,ダート,小雨,重
11.0,6,11,オブシディアーナ,牝3,55.0,菅原明,1:25.2,クビ,3,4.8,36.9,12-11,美浦国枝,470(+4),0,1400,ダート,小雨,重
12.0,3,6,ヒタムキ,牝3,55.0,菊沢,1:25.5,2,12,107.8,38.5,1-1,美浦鈴木慎,444(+2),0,1400,ダート,小雨,重
13.0,5,9,ナッシングベター,牝3,55.0,荻野極,1:26.0,3,9,58.3,38.3,7-7,美浦稲垣,450(+2),0,1400,ダート,小雨,重
14.0,1,1,キャラメリー,牝3,55.0,小林脩,1:26.6,3.1/2,6,23.6,39.4,4-3,美浦佐藤吉,486(+6),0,1400,ダート,小雨,重
15.0,6,12,ガンビーチ,牝3,55.0,横山典,1:26.7,1/2,4,9.1,38.6,9-10,美浦加藤征,450(-2),0,1400,ダート,小雨,重
16.0,2,3,リンダ,牝3,52.0,▲土田,1:27.6,5,16,332.6,38.6,15-16,美浦田村,430(0),0,1400,ダート,小雨,重
1.0,2,3,ラントレイル,牡3,57.0,木幡巧,2:10.6,,1,1.7,38.1,1-1-1-1,美浦牧,444(+8),1,2100,ダート,小雨,重
2.0,8,15,ブルージャイアント,牡3,57.0,原,2:11.6,6,2,3.3,38.0,9-5-5-5,美浦蛯名正,546(+2),1,2100,ダート,小雨,重
3.0,8,16,カサビセンス,牝3,55.0,団野,2:11.6,ハナ,5,24.1,38.1,7-5-7-5,美浦加藤士,442(-4),1,2100,ダート,小雨,重
4.0,4,8,カイトヴィント,牡3,54.0,▲石神道,2:11.7,アタマ,13,301.6,38.2,5-5-7-5,美浦和田雄,482(-2),0,2100,ダート,小雨,重
5.0,3,5,ナックエルドラド,牡3,57.0,吉田豊,2:11.7,クビ,10,102.6,39.1,13-12-5-2,美浦小野,492(-2),0,2100,ダート,小雨,重
6.0,7,13,ノーブルジェネシス,牡3,57.0,津村,2:12.4,4,8,67.0,39.2,3-2-3-4,美浦千葉,480(-4),0,2100,ダート,小雨,重
7.0,7,14,クレヨンポップ,牡3,57.0,武藤,2:12.4,ハナ,12,191.3,39.6,2-2-2-3,美浦水野,486(+10),0,2100,ダート,小雨,重
8.0,6,11,ヒロノビックバン,牡3,54.0,▲石田,2:13.3,5,7,31.7,39.5,9-10-11-9,美浦蛯名利,418(0),0,2100,ダート,小雨,重
9.0,5,10,フライハイ,牡3,57.0,菊沢,2:13.4,1/2,6,28.1,38.9,11-12-13-13,美浦中川,466(+2),0,2100,ダート,小雨,重
10.0,4,7,マルチタスク,牡3,56.0,☆横山琉,2:13.5,1/2,9,79.9,39.3,13-14-13-11,美浦相沢,462(-4),0,2100,ダート,小雨,重
11.0,3,6,サバイバルナイン,牝3,52.0,▲土田,2:13.9,2.1/2,16,439.0,39.8,8-9-11-11,美浦和田雄,478(+2),0,2100,ダート,小雨,重
12.0,6,12,ルージュメアート,牝3,55.0,大野拓,2:14.3,2.1/2,4,13.7,40.4,11-10-9-9,美浦高柳瑞,520(+2),0,2100,ダート,小雨,重
13.0,1,2,ニシノプロテア,牡3,57.0,野中,2:15.5,7,11,135.6,40.7,15-14-15-15,美浦武市,472(0),0,2100,ダート,小雨,重
14.0,1,1,トルーティクス,牡3,57.0,荻野極,2:16.9,8,15,390.2,41.9,16-16-16-16,美浦尾関,486(+2),0,2100,ダート,小雨,重
15.0,5,9,イトウ,牡3,57.0,菅原明,2:16.9,アタマ,3,6.5,43.2,3-4-3-8,美浦高柳瑞,480(-2),0,2100,ダート,小雨,重
16.0,2,4,マルリンモンロー,牝3,55.0,小林脩,2:17.3,2,14,389.5,42.7,5-5-9-13,美浦青木,506(0),0,2100,ダート,小雨,重
1.0,1,2,ハクシンブライアン,牡3,57.0,大野,1:36.4,,1,1.8,36.8,1-1,美浦松山,494(-6),1,1600,ダート,曇,重
2.0,8,16,グラスグリード,牡3,57.0,木幡巧,1:36.6,1.1/4,2,3.9,36.4,7-7,美浦小笠,454(-6),1,1600,ダート,曇,重
3.0,2,3,アバレリュウ,牡3,57.0,野中,1:37.0,2,3,8.5,36.6,8-8,美浦鈴木慎,494(+10),1,1600,ダート,曇,重
4.0,3,5,レッドシュトラール,牡3,57.0,丸山,1:37.0,クビ,9,33.8,36.2,11-9,美浦宮田,480(-4),0,1600,ダート,曇,重
