着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
10.0,5,5,ネロコルヴィーノ,牡4,58.0,和田竜,2:31.0,7,5,29.2,39.4,2-2-2-2,栗東辻野,514(-8),0,2400,芝,晴,良
1.0,8,15,タガノバビロン,牡3,55.0,松山,1:53.0,,2,3.0,37.1,7-7-7-5,栗東西園翔,514(+2),1,1800,ダート,晴,良
2.0,6,12,シュドゥン,牝3,53.0,岩田望,1:53.1,クビ,5,13.9,37.1,9-9-8-8,栗東上村,466(+4),1,1800,ダート,晴,良
3.0,1,2,ゴールデンクラウド,牡3,54.0,☆吉村,1:53.7,3.1/2,1,2.3,37.9,6-4-4-5,栗東小林,520(-6),1,1800,ダート,晴,良
4.0,7,13,エイユーファイヤー,牡3,55.0,中井,1:53.9,1.1/2,7,27.1,37.8,13-12-8-9,栗東森田,494(-2),0,1800,ダート,晴,良
5.0,8,16,カペルブリュッケ,牡3,54.0,☆高杉,1:54.0,クビ,11,54.3,37.7,10-11-12-13,栗東浜田,448(-8),0,1800,ダート,晴,良
6.0,2,4,ストーンズ,牡4,58.0,水口,1:54.2,1,3,8.2,38.7,2-2-2-1,栗東友道,508(-2),0,1800,ダート,晴,良
7.0,3,5,スーパージョック,牡3,52.0,▲田山,1:54.4,1.1/4,4,13.9,38.6,4-6-4-5,栗東佐々木,484(0),0,1800,ダート,晴,良
8.0,3,6,ロードヴォイジャー,牡3,55.0,長岡,1:54.4,アタマ,6,22.2,38.9,3-3-3-2,栗東坂口,502(0),0,1800,ダート,晴,良
9.0,6,11,キタノサワヤカ,牡3,54.0,☆西塚,1:54.5,1/2,10,52.4,38.3,12-12-12-12,栗東吉田,468(+22),0,1800,ダート,晴,良
10.0,5,9,メイケイロゼッタ,牡3,55.0,酒井,1:54.5,アタマ,15,166.7,38.5,7-7-8-9,栗東河嶋,462(+8),0,1800,ダート,晴,良
11.0,5,10,フェアリーブルー,牝3,53.0,幸,1:55.1,3.1/2,8,29.3,39.5,4-4-4-4,栗東西園翔,494(+10),0,1800,ダート,晴,良
12.0,2,3,キレナイカ,牡5,58.0,田口,1:55.3,1,13,151.5,38.8,16-15-15-15,栗東須貝,516(0),0,1800,ダート,晴,良
13.0,4,7,ロックウイズユー,牡3,55.0,和田竜,1:55.3,クビ,12,55.2,39.3,10-9-8-9,栗東西園正,450(-4),0,1800,ダート,晴,良
14.0,7,14,イエローブリック,牡3,55.0,斎藤,1:55.8,3,16,219.6,39.2,14-15-15-16,栗東奥村豊,522(+1),0,1800,ダート,晴,良
15.0,4,8,クレスコドルフィン,牡3,55.0,角田和,1:56.3,3,14,162.3,39.9,14-12-14-13,栗東長谷川,526(-2),0,1800,ダート,晴,良
16.0,1,1,ボディブロー,牡4,58.0,松若,1:56.7,2.1/2,9,34.1,41.3,1-1-1-2,栗東森秀,530(0),0,1800,ダート,晴,良
1.0,8,12,ハワイアンティアレ,牝4,54.0,和田竜,1:32.6,,2,6.0,33.7,7-10,栗東松永幹,432(0),1,1600,芝,晴,良
2.0,6,8,テラメリタ,牝4,53.0,田口,1:32.7,クビ,7,16.8,34.0,7-7,栗東須貝,482(-2),1,1600,芝,晴,良
3.0,1,1,アロマデローサ,牝5,53.0,亀田,1:32.8,3/4,11,31.4,34.8,1-1,栗東池添,458(-4),1,1600,芝,晴,良
4.0,8,13,アルゲンテウス,セ6,55.0,Ｍデム,1:32.8,ハナ,8,21.1,33.5,12-12,美浦小島,466(+2),0,1600,芝,晴,良
5.0,4,5,グラフィティアート,牡3,54.0,坂井,1:33.1,1.3/4,1,2.5,34.3,10-9,栗東石橋,466(0),0,1600,芝,晴,良
6.0,7,11,ケイデンシーマーク,牝5,54.0,松山,1:33.2,1/2,5,9.5,34.7,4-5,栗東福永,450(-2),0,1600,芝,晴,良
7.0,5,7,タイセイカレント,牡3,54.0,吉村,1:33.2,ハナ,6,13.5,34.6,4-6,栗東矢作,476(+10),0,1600,芝,晴,良
8.0,4,4,メタルスピード,牡5,56.0,岩田望,1:33.5,1.1/2,3,6.2,35.1,4-3,美浦斎藤誠,512(0),0,1600,芝,晴,良
9.0,7,10,エーデルサンライズ,牝5,52.0,小崎,1:33.5,ハナ,10,30.2,34.5,11-10,栗東小林,436(0),0,1600,芝,晴,良
10.0,3,3,サクラオーラ,牝6,53.0,酒井,1:33.7,1.1/4,12,69.3,35.0,7-7,栗東河嶋,452(+20),0,1600,芝,晴,良
11.0,5,6,レッドベルアーム,牡6,55.0,幸,1:33.9,1.1/4,4,8.1,35.6,3-3,栗東河嶋,536(+10),0,1600,芝,晴,良
12.0,6,9,アンビバレント,牡5,54.0,高杉,1:34.0,1/2,9,22.9,34.7,13-12,栗東藤野,478(+4),0,1600,芝,晴,良
13.0,2,2,プシプシーナ,牝4,52.0,松若,1:34.1,3/4,13,161.1,36.0,2-2,栗東小栗,430(0),0,1600,芝,晴,良
1.0,8,12,ヴェルテンベルク,牡5,55.0,団野,2:12.0,,7,17.9,35.0,4-4-6-4,栗東宮本,478(-6),1,2200,芝,晴,良
2.0,8,11,ガジュノリ,牝4,54.0,幸,2:12.1,1/2,6,16.6,34.9,8-9-8-8,美浦尾形,476(-4),1,2200,芝,晴,良
3.0,7,10,オーロラエックス,牝4,55.0,松山,2:12.1,クビ,1,3.2,35.3,3-2-3-3,栗東杉山晴,488(+2),1,2200,芝,晴,良
