着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,1,1,ウィンターサン,牝3,55.0,津村,1:38.1,,3,6.1,38.8,2-2,美浦加藤征,446(+2),1,1600,ダート,曇,良
2.0,5,10,リカード,牝3,55.0,柴田大,1:38.3,1,6,18.4,37.3,11-13,美浦和田雄,522(-2),1,1600,ダート,曇,良
3.0,3,6,ミヤグリフォン,牝3,53.0,△長浜,1:38.3,クビ,9,121.9,38.2,5-5,美浦千葉,468(0),1,1600,ダート,曇,良
4.0,3,5,シウダーエヴィータ,牝3,55.0,坂井,1:38.4,クビ,1,2.5,38.0,9-7,美浦田中博,464(+4),0,1600,ダート,曇,良
5.0,8,16,ジェンダアネモス,牝3,55.0,吉田豊,1:38.7,1.3/4,5,10.5,40.2,1-1,美浦伊坂,434(-2),0,1600,ダート,曇,良
6.0,6,11,スイートロータス,牝3,55.0,田辺,1:38.9,1,7,21.9,39.4,3-3,美浦久保田,430(+8),0,1600,ダート,曇,良
7.0,5,9,グランセゾン,牝3,55.0,三浦,1:39.1,1.1/2,2,3.3,38.5,11-10,美浦栗田,456(+2),0,1600,ダート,曇,良
8.0,7,14,キョウエイセレッソ,牝3,55.0,内田博,1:39.5,2.1/2,12,197.0,38.8,13-11,美浦中川,440(-4),0,1600,ダート,曇,良
9.0,7,13,ジュールスレーヴ,牝3,52.0,▲上里,1:39.9,2,16,427.8,38.4,15-15,美浦粕谷,414(-4),0,1600,ダート,曇,良
10.0,8,15,イーサンペガサス,牝3,55.0,丸山,1:40.3,2.1/2,13,236.0,39.2,14-13,美浦田中勝,492(+5),0,1600,ダート,曇,良
11.0,2,4,ミッキーラサルダン,牝3,55.0,レーン,1:40.4,クビ,4,6.7,40.7,4-4,美浦堀,456(+4),0,1600,ダート,曇,良
12.0,4,8,カプア,牝3,55.0,佐々木,1:40.4,クビ,8,67.3,40.0,9-7,美浦伊藤大,440(-4),0,1600,ダート,曇,良
13.0,6,12,ワナカ,牝3,55.0,伊藤,1:41.7,8,14,281.1,40.9,6-11,美浦金成,440(+1),0,1600,ダート,曇,良
14.0,1,2,マジカルレインボー,牝3,55.0,丹内,1:41.7,クビ,11,168.8,41.5,6-5,美浦尾関,472(-8),0,1600,ダート,曇,良
15.0,2,3,ピコチマチ,牝3,55.0,木幡巧,1:43.6,大,10,133.0,43.2,6-7,美浦牧,458(0),0,1600,ダート,曇,良
16.0,4,7,カレリアンダンス,牝3,55.0,原田和,1:44.5,5,15,341.3,40.2,16-16,美浦小野,434(-2),0,1600,ダート,曇,良
1.0,6,11,トライゴーニック,牡3,57.0,矢野貴,2:12.6,,3,4.5,37.9,13-13-13-11,美浦池上,474(0),1,2100,ダート,曇,良
2.0,3,5,マブアンドフェール,牡3,57.0,北村宏,2:12.7,クビ,4,6.9,38.3,10-11-11-7,美浦古賀,520(+2),1,2100,ダート,曇,良
3.0,7,14,ホークライト,セ3,57.0,内田博,2:13.1,2.1/2,1,4.0,39.4,3-2-2-1,美浦中舘,486(+6),1,2100,ダート,曇,良
4.0,1,1,セラドピラール,牝3,55.0,丸山,2:13.4,2,8,20.6,38.7,10-9-10-11,美浦稲垣,510(+4),0,2100,ダート,曇,良
5.0,2,4,ノースグロリア,牡3,54.0,▲上里,2:13.6,1,10,31.9,39.5,3-4-4-4,美浦加藤士,502(+2),0,2100,ダート,曇,良
6.0,1,2,セイスイミリオン,牡3,57.0,大野,2:13.9,1.3/4,6,14.2,39.5,6-6-6-7,美浦堀内,488(-4),0,2100,ダート,曇,良
7.0,8,16,ドラゴンバスター,セ3,54.0,▲水沼,2:14.2,1.1/2,16,200.1,38.3,16-16-15-15,美浦萱野,454(-10),0,2100,ダート,曇,良
8.0,7,13,オンクラウドナイン,牡3,57.0,佐々木,2:14.6,2.1/2,2,4.2,40.4,6-6-5-4,美浦和田郎,508(0),0,2100,ダート,曇,良
9.0,5,9,リバティフレイム,牡3,57.0,横山和,2:15.1,3,7,17.8,41.4,2-2-2-2,美浦嘉藤,526(+8),0,2100,ダート,曇,良
10.0,8,15,ミスブランニュデイ,牝3,55.0,丹内,2:15.8,4,14,102.4,41.6,8-9-8-4,美浦菊川,452(+2),0,2100,ダート,曇,良
11.0,6,12,テソリーノ,牡3,57.0,ディー,2:16.7,5,5,12.5,41.6,10-11-12-13,美浦青木,572(+2),0,2100,ダート,曇,良
12.0,5,10,パブリックスフィア,牡3,57.0,石川,2:17.5,5,11,34.3,43.0,3-5-6-9,美浦奥村武,450(-4),0,2100,ダート,曇,良
13.0,2,3,トウシンバカラ,牡3,57.0,菅原明,2:18.1,3.1/2,12,60.5,43.6,8-8-8-9,美浦高柳瑞,540(+10),0,2100,ダート,曇,良
14.0,3,6,イベンチュアリー,牡3,55.0,△長浜,2:19.0,5,13,82.3,40.2,13-15-16-16,美浦古賀,506(0),0,2100,ダート,曇,良
15.0,4,7,マイネルジーニアス,牡3,57.0,木幡巧,2:19.1,クビ,9,27.5,45.2,1-1-1-3,美浦高木,538(-2),0,2100,ダート,曇,良
16.0,4,8,サクラコーラル,牡3,57.0,津村,2:19.3,3/4,15,118.7,44.0,13-14-14-14,美浦尾関,468(+12),0,2100,ダート,曇,良
1.0,2,4,コスモグラニット,牡3,57.0,横山武,1:47.7,,2,3.4,35.0,1-1-1,美浦清水英,488(+2),1,1800,芝,曇,良
2.0,4,8,マイネルアレス,牡3,57.0,丹内,1:47.7,ハナ,3,3.5,34.7,3-4-2,美浦相沢,442(+2),1,1800,芝,曇,良
3.0,2,3,マイネルアズーロ,牡3,57.0,津村,1:47.9,1.1/4,4,23.5,34.5,6-5-6,美浦鹿戸,460(+2),1,1800,芝,曇,良
4.0,8,18,アリスメティーク,牝3,55.0,ルメー,1:48.1,1.1/4,1,2.1,34.1,16-13-13,美浦大竹,446(+2),0,1800,芝,曇,良
5.0,7,14,サマーツアー,牡3,57.0,嶋田,1:48.2,クビ,14,207.0,34.1,10-14-15,美浦矢嶋,480(+4),0,1800,芝,曇,良
6.0,6,11,ライヴバフィ,牡3,57.0,木幡巧,1:48.3,1/2,11,121.4,35.0,6-5-5,美浦牧,470(-2),0,1800,芝,曇,良
7.0,5,10,ブルンツヴィーク,牡3,57.0,北村宏,1:48.5,1.1/2,7,39.8,34.8,10-9-9,美浦柄崎,464(-4),0,1800,芝,曇,良
8.0,3,5,リワードパシオン,牡3,57.0,菊沢,1:48.6,1/2,16,368.6,34.8,10-12-12,美浦勢司,452(0),0,1800,芝,曇,良
9.0,8,17,ブランフォルテ,牡3,57.0,石川,1:48.7,クビ,6,32.8,34.8,15-14-13,美浦辻,480(0),0,1800,芝,曇,良
10.0,6,12,ハクサンテュポン,牡3,54.0,▲石田,1:48.7,ハナ,5,25.2,34.6,16-16-15,美浦新開,478(0),0,1800,芝,曇,良
11.0,7,13,タベザカリ,牡3,54.0,▲上里,1:48.7,クビ,9,95.0,35.0,10-9-9,美浦伊坂,466(0),0,1800,芝,曇,良
12.0,1,1,ベアリミッション,牝3,52.0,▲佐藤,1:48.8,クビ,10,102.3,35.7,3-3-4,美浦杉浦,430(+2),0,1800,芝,曇,良
13.0,7,15,バイオマックス,牡3,57.0,佐々木,1:49.5,4,8,90.5,36.1,6-5-6,美浦黒岩,474(+2),0,1800,芝,曇,良
14.0,5,9,マイドリームガール,牝3,55.0,原,1:50.1,4,13,175.9,36.0,14-16-15,美浦大竹,460(-2),0,1800,芝,曇,良
15.0,3,6,キャバリエクエスト,牡3,54.0,▲遠藤,1:50.5,2.1/2,17,493.4,37.5,2-2-2,美浦大和田,472(+2),0,1800,芝,曇,良
16.0,4,7,ココロビジン,牝3,55.0,丸田,1:50.8,1.1/2,15,332.8,37.1,9-9-9,美浦武市,428(+10),0,1800,芝,曇,良
17.0,8,16,アルデコンティ,牡3,57.0,江田照,1:52.3,9,12,139.8,38.8,5-5-6,美浦田中剛,486(-2),0,1800,芝,曇,良
,1,2,ロードオブドリーム,牡3,57.0,Ｍデム,,,,,,,美浦金成,522(-10),0,1800,芝,曇,良
1.0,6,11,マックスキュー,牡3,57.0,レーン,1:24.4,,1,1.5,36.2,2-2,美浦鹿戸,476(-8),1,1400,ダート,曇,良
2.0,2,4,オブシディアーナ,牝3,55.0,菅原明,1:25.2,5,5,14.8,37.1,1-1,美浦国枝,466(-2),1,1400,ダート,曇,良
3.0,5,10,ガンバレベアー,牝3,55.0,佐々木,1:25.3,クビ,6,17.0,36.8,5-3,美浦千葉,478(0),1,1400,ダート,曇,良
4.0,5,9,ミスティマウンテン,牡3,57.0,横山武,1:25.3,クビ,3,11.9,36.4,8-8,美浦池上,442(-4),0,1400,ダート,曇,良
5.0,3,5,キチロクキャップ,牡3,57.0,木幡育,1:25.6,1.1/2,10,89.4,36.2,11-11,美浦松永康,516(-2),0,1400,ダート,曇,良
6.0,6,12,ベルレオーネ,牡3,57.0,石川,1:25.6,ハナ,8,28.5,36.8,7-7,美浦天間,456(-6),0,1400,ダート,曇,良
7.0,1,2,ゲンキイッパイ,牡3,57.0,大野,1:26.0,2.1/2,7,25.3,36.5,11-13,美浦石栗,506(+6),0,1400,ダート,曇,良
8.0,8,16,クラウンハート,牡3,57.0,田辺,1:26.0,アタマ,2,5.8,36.5,15-13,美浦相沢,492(0),0,1400,ダート,曇,良
9.0,3,6,ブルームノーズ,牡3,57.0,坂井,1:26.5,2.1/2,9,35.1,36.5,16-16,美浦伊藤大,456(-18),0,1400,ダート,曇,良
10.0,4,7,ブレードダンシング,牡3,57.0,菊沢,1:26.7,1.1/2,14,284.8,37.6,10-9,美浦岩戸,460(+2),0,1400,ダート,曇,良
11.0,7,14,タイキクリエイター,牡3,57.0,石橋脩,1:27.0,2,11,134.2,38.6,3-3,美浦矢野,590(+12),0,1400,ダート,曇,良
12.0,8,15,レイアロハ,牝3,55.0,丹内,1:27.1,クビ,4,12.0,38.5,5-6,美浦田島,456(0),0,1400,ダート,曇,良
13.0,1,1,ドルーリー,牝3,52.0,▲舟山,1:27.2,1/2,15,336.7,37.5,13-15,美浦上原佑,482(+2),0,1400,ダート,曇,良
14.0,7,13,アスクサヴァイバル,牡3,57.0,木幡巧,1:27.5,2,16,394.7,38.1,13-11,美浦田島,432(+6),0,1400,ダート,曇,良
15.0,4,8,フルールネージュ,牝3,55.0,武藤,1:28.0,2.1/2,13,252.9,39.5,3-3,美浦武藤,420(+10),0,1400,ダート,曇,良
16.0,2,3,サザンブラック,牡3,57.0,野中,1:28.8,5,12,216.8,39.5,8-10,美浦根本,490(+22),0,1400,ダート,曇,良
1.0,2,2,ダノンヒストリー,牡2,55.0,レーン,1:46.8,,1,1.2,34.8,1-1-1,美浦堀,486(0),1,1800,芝,曇,良
2.0,8,11,アウダーシア,牡2,55.0,ルメー,1:47.2,2.1/2,2,5.5,34.0,10-9-9,美浦手塚久,482(0),1,1800,芝,曇,良
3.0,6,6,グリーンエナジー,牡2,55.0,戸崎圭,1:47.7,3.1/2,3,9.5,34.9,7-7-7,美浦上原佑,482(0),1,1800,芝,曇,良
4.0,7,8,アメテュストス,牡2,55.0,横山武,1:48.1,2,5,26.4,35.6,3-4-4,美浦加藤士,446(0),0,1800,芝,曇,良
5.0,6,7,ホワイトドラゴン,牡2,55.0,ディー,1:48.7,3.1/2,6,41.5,36.6,2-2-2,美浦伊藤大,462(0),0,1800,芝,曇,良
6.0,1,1,ユニゾン,牡2,55.0,佐々木,1:49.2,3,9,163.0,36.2,7-7-8,美浦菊川,442(0),0,1800,芝,曇,良
7.0,3,3,シーミハットク,牡2,55.0,坂井,1:49.4,1.1/2,4,16.8,36.7,5-5-5,栗東寺島,480(0),0,1800,芝,曇,良
8.0,8,10,コーディアリー,牡2,55.0,丹内,1:49.5,1/2,7,62.5,37.2,5-3-3,美浦天間,462(0),0,1800,芝,曇,良
9.0,7,9,コウソクルリアン,牡2,55.0,武藤,1:49.8,1.1/2,10,219.0,37.1,3-5-5,美浦武藤,458(0),0,1800,芝,曇,良
10.0,5,5,タイガーゲイト,牡2,55.0,松山,1:51.6,大,8,115.5,37.7,7-10-10,美浦大和田,466(0),0,1800,芝,曇,良
,4,4,サノノグレーター,牡2,54.0,☆横山琉,,,,,,,美浦尾形,,0,1800,芝,曇,良
1.0,5,9,パープルガーネット,牝2,55.0,ルメー,1:23.1,,2,2.9,34.7,7-5,美浦森一,462(0),1,1400,芝,曇,良
2.0,8,16,ルーチェフィオーレ,牝2,55.0,横山和,1:23.2,1/2,4,17.6,34.1,11-13,美浦嘉藤,434(0),1,1400,芝,曇,良
3.0,3,6,ディアダイヤモンド,牝2,55.0,武豊,1:23.2,クビ,3,3.5,34.9,4-3,美浦手塚久,462(0),1,1400,芝,曇,良
4.0,4,8,タフクッキー,牝2,55.0,川田,1:23.3,クビ,1,2.7,34.8,5-7,栗東中内田,454(0),0,1400,芝,曇,良
5.0,6,12,ロイヤルスパイア,牡2,55.0,岩田康,1:23.5,1.1/4,5,22.8,34.6,13-11,美浦栗田,450(0),0,1400,芝,曇,良
6.0,6,11,フォトンゲイザー,牡2,55.0,木幡巧,1:23.6,1/2,8,42.6,35.0,7-8,美浦牧,422(0),0,1400,芝,曇,良
7.0,7,13,ナハトナナレオン,牝2,53.0,△長浜,1:23.7,1,11,76.6,34.1,16-16,美浦矢嶋,398(0),0,1400,芝,曇,良
8.0,8,17,リュウノエッセンス,牝2,55.0,松岡,1:24.0,1.1/2,7,40.0,35.2,9-10,美浦伊藤伸,436(0),0,1400,芝,曇,良
9.0,2,4,キトゥンズシルバー,牡2,55.0,横山武,1:24.1,1,6,30.2,35.7,5-5,美浦武井,458(0),0,1400,芝,曇,良
10.0,3,5,ナムラリアン,牝2,55.0,武藤,1:24.2,クビ,13,144.0,36.0,3-3,美浦武藤,406(0),0,1400,芝,曇,良
11.0,5,10,シーグルロス,牝2,55.0,丹内,1:24.5,2,9,48.1,35.6,11-11,美浦尾形,456(0),0,1400,芝,曇,良
12.0,2,3,コパノカーター,牡2,55.0,石橋脩,1:24.7,1.1/2,14,186.2,36.0,9-8,美浦大和田,468(0),0,1400,芝,曇,良
13.0,1,2,ライフオブラクーン,牡2,55.0,原,1:24.8,クビ,15,191.4,36.8,2-2,美浦村田,444(0),0,1400,芝,曇,良
14.0,4,7,リッチフィールド,牡2,55.0,岩部,1:25.3,3,17,297.9,36.0,16-14,美浦杉浦,464(0),0,1400,芝,曇,良
15.0,7,14,ライトアズフェザー,牝2,55.0,菅原明,1:25.4,3/4,10,49.0,36.0,14-14,美浦千葉,450(0),0,1400,芝,曇,良
16.0,1,1,アレステソーロ,牡2,55.0,柴田大,1:25.9,3,12,120.1,37.9,1-1,美浦田中剛,464(0),0,1400,芝,曇,良
17.0,8,15,ニケフェリーチェ,牝2,55.0,佐々木,1:28.5,大,16,209.0,38.2,14-17,美浦菊川,448(0),0,1400,芝,曇,良
1.0,2,4,ルークススペイ,牡3,55.0,川田,1:23.7,,2,3.7,36.3,3-3,美浦伊藤圭,478(-6),1,1400,ダート,晴,良
2.0,7,13,セギレエルビエント,牝3,53.0,横山和,1:24.0,2,1,2.3,36.8,2-2,美浦伊坂,462(0),1,1400,ダート,晴,良
3.0,3,5,ショウナンヤッホー,牡3,55.0,菅原明,1:24.1,3/4,4,10.1,36.2,9-7,美浦栗田,482(0),1,1400,ダート,晴,良
4.0,1,1,リプレゼント,牡5,58.0,松山,1:24.2,クビ,11,47.0,36.7,5-3,美浦高柳瑞,496(-12),0,1400,ダート,晴,良
5.0,3,6,スプランドゥール,牡4,58.0,柴田大,1:24.2,クビ,6,20.9,35.9,13-13,美浦和田雄,470(-2),0,1400,ダート,晴,良
6.0,6,11,ゲキザル,牡6,58.0,小林脩,1:24.2,クビ,10,32.2,36.2,10-10,美浦青木,478(+2),0,1400,ダート,晴,良
7.0,4,7,フォースミラクル,牡3,55.0,ディー,1:24.3,1/2,5,19.5,36.5,7-7,美浦加藤征,452(+4),0,1400,ダート,晴,良
8.0,2,3,アレスグート,牡3,55.0,木幡巧,1:24.6,1.1/2,8,22.4,37.6,1-1,美浦牧,456(+2),0,1400,ダート,晴,良
9.0,4,8,ウフドゥウフ,牡3,55.0,田辺,1:24.8,1.1/4,3,6.7,36.7,10-10,美浦上原博,482(-4),0,1400,ダート,晴,良
10.0,8,16,ブリングライト,牡5,58.0,菊沢,1:24.9,クビ,7,22.2,36.3,15-15,美浦土田,480(+8),0,1400,ダート,晴,良
11.0,1,2,ノアスペシャル,牝4,54.0,△長浜,1:24.9,クビ,14,171.7,37.1,7-7,美浦鈴木慎,440(-2),0,1400,ダート,晴,良
12.0,5,10,アルニラム,牡4,58.0,内田博,1:25.0,クビ,9,23.1,37.3,5-5,美浦伊藤大,472(0),0,1400,ダート,晴,良
13.0,7,14,ニシノタンギー,牡3,55.0,武藤,1:26.1,7,15,326.2,38.1,10-10,美浦水野,462(-4),0,1400,ダート,晴,良
14.0,8,15,ハッピービバーク,牝3,53.0,横山武,1:26.6,3.1/2,12,84.5,38.9,4-5,美浦嘉藤,458(+14),0,1400,ダート,晴,良
15.0,5,9,エコロカレン,牝4,56.0,石川,1:27.1,3,13,127.2,38.7,14-14,美浦奥平,476(0),0,1400,ダート,晴,良
16.0,6,12,ムゾラシカ,牝3,53.0,丸山,1:27.2,クビ,16,480.0,38.2,16-16,美浦根本,454(+6),0,1400,ダート,晴,良
1.0,1,2,キングノジョー,牡3,55.0,ルメー,1:33.5,,1,1.9,34.0,4-4,美浦田中博,444(+4),1,1600,芝,晴,良
2.0,1,1,マイネルフォルツァ,牡5,58.0,丹内,1:33.7,1.1/2,11,121.0,34.1,5-5,美浦金成,526(-6),1,1600,芝,晴,良
3.0,2,4,ルパヴィヨン,牝3,53.0,大野,1:33.8,クビ,3,6.1,34.9,2-2,美浦小手川,464(0),1,1600,芝,晴,良
4.0,4,7,プチプランス,牡3,55.0,戸崎圭,1:33.9,3/4,5,8.3,34.2,7-6,栗東藤岡,484(-4),0,1600,芝,晴,良
5.0,2,3,シャンクス,牡3,55.0,黛,1:33.9,ハナ,4,6.3,34.0,8-8,美浦森一,490(+8),0,1600,芝,晴,良
6.0,3,6,サノノロンドン,牝3,50.0,★小林美,1:34.0,クビ,12,201.3,35.4,1-1,美浦尾形,440(+10),0,1600,芝,晴,良
7.0,5,9,ベストレーサー,牝3,50.0,▲上里,1:34.2,1.1/4,7,59.1,35.0,3-3,美浦小野,464(+2),0,1600,芝,晴,良
8.0,4,8,マニス,牝3,50.0,▲石神道,1:34.5,2,9,86.8,34.8,5-6,美浦畠山,402(0),0,1600,芝,晴,良
9.0,8,18,ホウオウシンデレラ,牝4,54.0,△長浜,1:34.6,1/2,10,107.8,34.3,11-11,美浦奥村武,472(+8),0,1600,芝,晴,良
10.0,7,14,ニシノクードクール,牝3,53.0,武藤,1:34.6,アタマ,8,65.1,34.6,8-8,美浦武藤,448(0),0,1600,芝,晴,良
11.0,7,15,ボナーテソーロ,牡4,58.0,木幡巧,1:34.6,アタマ,14,247.8,34.6,10-8,美浦牧,474(-7),0,1600,芝,晴,良
12.0,3,5,シンドリームシン,牡4,58.0,佐々木,1:34.6,アタマ,6,20.5,34.3,11-11,栗東武幸,500(-6),0,1600,芝,晴,良
13.0,8,17,エンダードラゴン,牡3,55.0,武豊,1:34.7,クビ,2,5.7,33.8,17-17,栗東友道,522(+6),0,1600,芝,晴,良
14.0,7,13,ジーティーポライト,牝4,53.0,▲水沼,1:35.0,2,17,498.8,34.0,18-18,美浦加藤和,462(-6),0,1600,芝,晴,良
15.0,6,12,フロスティクォーツ,牡7,58.0,原,1:35.0,ハナ,15,372.8,34.4,16-14,美浦加藤和,484(0),0,1600,芝,晴,良
16.0,5,10,バセリーナ,牡3,55.0,野中,1:35.1,1/2,13,216.5,34.6,14-14,美浦松山,448(+8),0,1600,芝,晴,良
17.0,6,11,ファイブセンス,牝5,56.0,丸山,1:35.4,1.1/2,18,701.5,34.8,14-14,美浦高橋文,458(+2),0,1600,芝,晴,良
18.0,8,16,パルヴェニュー,牡3,55.0,矢野貴,1:35.4,ハナ,16,437.6,35.0,11-13,地方山田信,442(+2),0,1600,芝,晴,良
1.0,5,5,ウィクトルウェルス,牡3,55.0,ルメー,2:01.4,,1,1.1,33.6,5-5-6,美浦宮田,508(-2),1,2000,芝,晴,良
2.0,7,10,マイネルトルファン,牡6,58.0,柴田大,2:01.6,1,9,65.6,34.2,2-2-2,美浦粕谷,516(-2),1,2000,芝,晴,良
3.0,4,4,マイネルオーシャン,牡4,58.0,丹内,2:01.8,1.1/4,3,13.9,33.7,6-8-9,美浦鹿戸,478(+6),1,2000,芝,晴,良
4.0,1,1,エラン,牡4,58.0,岩田康,2:01.8,クビ,2,8.9,33.8,6-5-7,美浦蛯名正,468(0),0,2000,芝,晴,良
5.0,8,12,コスモエクスプレス,牡6,58.0,佐々木,2:01.9,1/2,11,154.2,33.7,12-11-10,美浦松永康,498(+4),0,2000,芝,晴,良
6.0,8,11,ヴァイザーブリック,牡4,58.0,ディー,2:02.0,1/2,6,30.5,34.5,4-4-3,美浦池上,474(+2),0,2000,芝,晴,良
7.0,2,2,フォーザボーイズ,牝4,56.0,津村,2:02.0,クビ,4,16.7,34.5,3-3-3,美浦加藤征,434(-2),0,2000,芝,晴,良
8.0,3,3,テイデ,セ7,58.0,レーン,2:02.1,1/2,5,17.3,33.9,9-8-10,美浦堀,476(0),0,2000,芝,晴,良
9.0,5,6,ヴィブラツィオーネ,セ6,58.0,石川,2:02.1,クビ,12,253.6,33.8,11-11-10,美浦辻,460(-10),0,2000,芝,晴,良
10.0,7,9,オウケンボルト,牡6,58.0,横山和,2:02.2,クビ,8,52.4,34.9,1-1-1,美浦土田,448(-6),0,2000,芝,晴,良
11.0,6,7,ピンキープロミス,牡5,58.0,木幡巧,2:02.4,1.1/4,10,79.7,34.4,9-8-7,美浦畠山,476(-8),0,2000,芝,晴,良
12.0,6,8,ダイシンアポロン,牡4,58.0,坂井,2:02.6,1.1/2,7,43.5,35.0,6-5-5,美浦戸田,472(+4),0,2000,芝,晴,良
1.0,3,6,スティールブルー,牝4,56.0,北村宏,1:23.7,,6,16.1,35.9,8-7,美浦田中勝,448(+2),1,1400,ダート,晴,良
2.0,1,1,ノヴァエクスプレス,牡4,58.0,戸崎圭,1:23.7,クビ,2,4.1,35.6,11-10,美浦鈴木慎,506(+2),1,1400,ダート,晴,良
3.0,4,7,スズカコーズ,牡5,58.0,木幡巧,1:23.8,3/4,8,18.1,36.2,3-3,美浦伊藤圭,498(-2),1,1400,ダート,晴,良
4.0,5,9,フラーハ,牝4,56.0,ディー,1:23.9,1/2,7,16.9,36.6,1-1,美浦嘉藤,486(0),0,1400,ダート,晴,良
5.0,7,13,フィリップ,牡4,58.0,レーン,1:24.0,クビ,1,2.5,36.6,2-2,美浦岩戸,494(0),0,1400,ダート,晴,良
6.0,4,8,ウィンダミア,牡6,58.0,松山,1:24.2,1,9,21.4,36.2,8-9,美浦林,462(0),0,1400,ダート,晴,良
7.0,3,5,エリンアキレウス,牡5,58.0,丹内,1:24.2,ハナ,14,222.2,36.6,6-3,美浦清水英,554(+20),0,1400,ダート,晴,良
8.0,6,12,ダミエ,牡5,58.0,武豊,1:24.4,1.1/4,10,23.9,35.8,14-14,栗東武幸,460(+8),0,1400,ダート,晴,良
9.0,1,2,ロードオルデン,牡6,58.0,長岡,1:24.4,クビ,12,81.9,35.8,15-14,栗東辻野,490(+8),0,1400,ダート,晴,良
10.0,2,4,アンスリウム,牝5,56.0,津村,1:24.5,クビ,11,57.1,36.1,13-12,美浦加藤征,494(0),0,1400,ダート,晴,良
