着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,3,6,スカイビート,牝3,55.0,坂井,1:37.1,,1,1.7,37.5,3-3,栗東野中,456(-6),1,1600,ダート,晴,重
2.0,5,10,エウテルペ,牝3,55.0,ディー,1:37.2,クビ,4,12.5,37.8,2-2,美浦和田郎,460(+4),1,1600,ダート,晴,重
3.0,2,3,イザベルソレイユ,牝3,55.0,津村,1:37.5,2,2,4.6,37.0,13-12,美浦小西,482(-2),1,1600,ダート,晴,重
4.0,1,1,センジュコスモス,牝3,55.0,内田博,1:37.5,クビ,5,19.4,37.3,8-9,美浦南田,462(+6),0,1600,ダート,晴,重
5.0,8,16,アイスリーディング,牝3,55.0,田辺,1:37.6,クビ,3,5.7,37.3,11-11,美浦小笠,440(+8),0,1600,ダート,晴,重
6.0,6,12,カワキタホクレア,牝3,52.0,▲上里,1:37.7,1/2,12,105.9,37.6,8-7,美浦伊坂,458(+6),0,1600,ダート,晴,重
7.0,4,7,ベリーズブルー,牝3,53.0,△長浜,1:37.9,1.1/4,9,46.6,38.3,3-3,美浦鈴木慎,410(+8),0,1600,ダート,晴,重
8.0,7,14,ラブリーウィザード,牝3,54.0,☆横山琉,1:38.8,5,6,34.2,37.6,15-15,美浦小笠,448(0),0,1600,ダート,晴,重
9.0,4,8,ニーケアイリス,牝3,55.0,菊沢,1:38.9,1/2,11,81.6,39.0,5-5,美浦伊坂,444(+8),0,1600,ダート,晴,重
10.0,5,9,スパークルノヴァ,牝3,55.0,江田照,1:39.0,3/4,13,156.5,38.8,8-9,美浦蛯名正,406(0),0,1600,ダート,晴,重
11.0,3,5,キタノラータム,牝3,52.0,▲石神道,1:39.1,1/2,15,226.6,39.1,5-7,美浦伊藤伸,488(+4),0,1600,ダート,晴,重
12.0,2,4,ルージュミネルバ,牝3,55.0,原,1:39.2,クビ,8,41.2,38.4,14-13,美浦尾関,444(0),0,1600,ダート,晴,重
13.0,1,2,アークエタニティ,牝3,52.0,▲遠藤,1:39.9,4,14,186.2,38.7,16-15,美浦伊藤伸,456(+10),0,1600,ダート,晴,重
14.0,7,13,ペイシャメダリスト,牝3,55.0,丹内,1:40.0,3/4,10,58.3,39.3,12-13,美浦本間,418(0),0,1600,ダート,晴,重
15.0,6,11,ルージュフレイヤ,牝3,51.0,★小林美,1:41.4,8,7,36.4,42.0,1-1,美浦浅利,412(-8),0,1600,ダート,晴,重
16.0,8,15,ジーティーネージュ,牝3,52.0,▲水沼,1:41.9,3,16,335.4,42.0,5-5,美浦石栗,474(-2),0,1600,ダート,晴,重
1.0,6,12,キョウエイスレーヴ,牡3,57.0,原,1:24.0,,1,2.4,35.7,5-5,美浦萱野,444(0),1,1400,ダート,晴,重
2.0,8,15,カフェブーケット,牡3,57.0,横山和,1:24.2,1,2,3.7,36.5,2-2,美浦柄崎,484(-2),1,1400,ダート,晴,重
3.0,2,4,アシャカルーク,牡3,53.0,★小林美,1:24.7,3,6,13.4,36.3,5-5,美浦鈴木伸,446(+4),1,1400,ダート,晴,重
4.0,7,14,サクラパステル,牝3,55.0,丸山,1:24.7,クビ,12,143.5,36.7,3-3,美浦田島,476(+2),0,1400,ダート,晴,重
5.0,5,9,セラトーン,牡3,57.0,松山,1:24.8,クビ,5,11.4,36.1,10-8,美浦尾関,496(+2),0,1400,ダート,晴,重
6.0,7,13,アミラジオネ,牝3,52.0,▲水沼,1:24.9,3/4,10,105.5,36.3,7-7,美浦西田,464(0),0,1400,ダート,晴,重
7.0,4,8,フィエルテ,牝3,55.0,内田博,1:25.4,3,4,7.2,36.2,14-11,美浦中舘,472(0),0,1400,ダート,晴,重
8.0,4,7,サンマルストロング,牡3,54.0,▲石神道,1:25.7,2,13,193.0,36.5,13-11,美浦土田,534(+6),0,1400,ダート,晴,重
