着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
3.0,4,4,ゼロヴィジビリティ,牡2,55.0,坂井,1:10.0,1.1/4,1,1.7,35.1,1-1,栗東寺島,476(0),1,1200,芝,晴,良
4.0,1,1,ワイドカクゲン,牡2,52.0,▲田山旺,1:10.1,クビ,9,62.8,34.9,3-3,栗東杉山佳,474(0),0,1200,芝,晴,良
5.0,3,3,スターアニス,牝2,55.0,松山,1:10.2,1/2,3,5.7,34.5,7-6,栗東高野,486(0),0,1200,芝,晴,良
6.0,7,7,ナムラライラック,牝2,55.0,松若,1:10.3,1,8,48.7,34.9,5-5,栗東畑端,398(0),0,1200,芝,晴,良
7.0,6,6,ゼンノスタニング,牡2,55.0,Ｍデム,1:11.0,4,6,29.7,34.8,9-8,栗東武幸,452(0),0,1200,芝,晴,良
8.0,7,8,ゴーゴーエイミー,牝2,55.0,秋山稔,1:11.1,3/4,7,48.7,35.6,5-6,栗東東田,442(0),0,1200,芝,晴,良
9.0,5,5,カセノコンコルド,牡2,55.0,田口,1:12.8,10,10,95.2,36.7,8-9,栗東中尾,442(0),0,1200,芝,晴,良
10.0,8,10,レザーアンドレース,牝2,53.0,◇永島ま,1:13.9,7,5,17.6,37.7,9-10,栗東平田,458(0),0,1200,芝,晴,良
1.0,2,4,ランフォースマイル,牝3,55.0,川田,2:00.0,,3,5.1,37.8,1-1-1-1,栗東渡辺,448(+6),1,2000,芝,晴,良
2.0,3,6,アイスモント,牝3,55.0,坂井,2:00.2,1.1/2,1,3.4,37.3,7-5-6-3,栗東宮本,436(+2),1,2000,芝,晴,良
3.0,8,17,シャドウフェイス,牝3,54.0,☆西塚,2:01.0,5,14,51.0,38.7,2-2-2-2,栗東辻野,378(+8),1,2000,芝,晴,良
4.0,7,15,ポジターノ,牝3,54.0,☆高杉,2:01.1,1,12,47.1,37.3,9-10-11-9,栗東飯田,412(+2),0,2000,芝,晴,良
5.0,5,10,ラストプリンセス,牝3,55.0,国分優,2:01.2,クビ,17,251.1,37.8,9-9-8-6,栗東清水久,416(-4),0,2000,芝,晴,良
6.0,4,8,ジョリーピクシー,牝3,55.0,Ｍデム,2:01.2,1/2,6,18.3,36.8,18-18-16-13,栗東笹田,442(-10),0,2000,芝,晴,良
7.0,2,3,ハギノデュエット,牝3,51.0,★河原田,2:01.3,クビ,13,47.4,37.5,12-12-11-11,栗東中竹,470(+8),0,2000,芝,晴,良
8.0,5,9,ジュヌフィーユ,牝3,55.0,田口,2:01.3,クビ,2,3.6,38.7,3-3-3-3,栗東四位,416(-4),0,2000,芝,晴,良
9.0,6,12,ブラックダイヤ,牝3,55.0,泉谷,2:01.4,1/2,11,45.2,37.5,13-13-14-11,栗東杉山晴,424(-2),0,2000,芝,晴,良
10.0,4,7,ルージュパラディ,牝3,52.0,▲田山,2:01.5,1/2,15,125.2,37.3,14-14-15-14,栗東橋口,410(0),0,2000,芝,晴,良
11.0,7,13,コンプリート,牝3,55.0,藤懸,2:01.6,1/2,8,29.3,38.4,8-8-7-8,栗東田中克,474(+6),0,2000,芝,晴,良
12.0,8,18,ハローエンジェル,牝3,55.0,亀田,2:01.7,クビ,5,13.1,38.9,5-5-4-3,栗東田中克,468(0),0,2000,芝,晴,良
13.0,7,14,チルウィズミー,牝3,55.0,団野大,2:01.9,1.1/4,7,23.0,38.2,11-11-10-9,栗東中内田,464(-4),0,2000,芝,晴,良
14.0,6,11,ウィッティクオウト,牝3,55.0,角田和,2:02.0,1/2,18,434.5,37.3,16-17-17-16,栗東吉村,406(+4),0,2000,芝,晴,良
15.0,3,5,マリアブーケ,牝3,55.0,幸,2:03.5,9,10,35.7,39.7,16-16-11-14,栗東高橋忠,442(+4),0,2000,芝,晴,良
16.0,1,2,アイルフィレール,牝3,55.0,小崎,2:04.1,3.1/2,16,213.0,39.0,14-14-18-18,栗東新谷,436(+8),0,2000,芝,晴,良
17.0,1,1,エリセイラ,牝3,53.0,◇永島,2:04.6,3,4,8.3,41.9,3-3-4-7,栗東大久保,428(0),0,2000,芝,晴,良
,8,16,ラヴアンドホープ,牝3,53.0,◇今村,,,9,31.2,,6-5-8-17,栗東庄野,502(+6),0,2000,芝,晴,良
1.0,8,13,ディーエスショウマ,牡3,55.0,松山,0:57.9,,4,9.1,35.4,2-2,栗東橋口,462(+2),1,1000,ダート,晴,良
2.0,2,2,ヤマニンシュラ,牡3,55.0,幸,0:58.3,2.1/2,3,4.1,35.6,3-3,栗東斉藤崇,470(+4),1,1000,ダート,晴,良
3.0,7,12,スノーサイレンス,牝3,53.0,川田,0:58.6,2,1,2.9,36.1,1-1,栗東小栗,462(+8),1,1000,ダート,晴,良
4.0,1,1,フィドルファドル,牝3,53.0,坂井,0:58.9,1.1/2,2,3.8,35.4,10-10,栗東矢作,464(0),0,1000,ダート,晴,良
