着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
7.0,8,11,サマースピリット,牝3,55.0,浜中,1:09.7,クビ,1,2.0,35.1,3-3,美浦国枝,470(+2),0,1200,芝,曇,良
8.0,3,3,ファリア,牡3,54.0,▲古川奈,1:09.7,アタマ,8,74.7,34.6,9-9,美浦土田,450(+4),0,1200,芝,曇,良
9.0,6,8,スティルシャイニン,牡3,57.0,木幡巧,1:10.1,2.1/2,12,262.3,35.3,6-6,美浦天間,458(-2),0,1200,芝,曇,良
10.0,4,4,オースミストロング,牡3,57.0,古川吉,1:10.1,アタマ,10,118.7,35.0,9-9,栗東高橋亮,490(-2),0,1200,芝,曇,良
11.0,8,12,スペースリーガ,牡3,57.0,黛,1:10.2,1/2,11,187.6,35.0,9-11,美浦森一,458(-10),0,1200,芝,曇,良
12.0,1,1,ルナティックアイ,牡3,57.0,横山和,1:10.2,ハナ,9,88.7,35.6,3-4,美浦村田,430(-4),0,1200,芝,曇,良
1.0,6,6,ミッキーコンドル,牡3,57.0,藤岡佑,1:47.0,,2,2.4,37.8,3-3-2-1,栗東大久保,448(+4),1,1700,ダート,曇,良
2.0,8,9,サトミノエンジェル,牡3,57.0,横山武,1:47.3,1.1/2,1,2.2,37.7,6-7-7-7,美浦鈴木伸,512(-2),1,1700,ダート,曇,良
3.0,5,5,オオタチ,牡3,57.0,木幡巧,1:47.5,1.1/2,3,6.9,38.1,4-4-4-4,美浦久保田,454(+2),1,1700,ダート,曇,良
4.0,3,3,エポカリーナ,牡3,54.0,▲古川奈,1:47.7,1,4,7.7,38.3,6-4-4-4,美浦土田,456(+2),0,1700,ダート,曇,良
5.0,7,7,ジーティートゥルー,牡3,57.0,黛,1:47.8,3/4,6,21.9,38.4,9-9-4-4,美浦田島,450(+6),0,1700,ダート,曇,良
6.0,8,8,トモジャイブ,牡3,57.0,古川吉,1:47.8,アタマ,5,20.4,38.5,4-4-3-2,栗東大根田,484(0),0,1700,ダート,曇,良
7.0,2,2,クレドール,牝3,55.0,原田和,1:48.4,3.1/2,8,127.9,38.5,6-7-9-9,美浦小笠,474(+6),0,1700,ダート,曇,良
8.0,4,4,マナミン,牝3,52.0,▲橋木,1:48.7,1.3/4,7,55.0,39.1,2-2-7-8,栗東高橋康,438(-4),0,1700,ダート,曇,良
9.0,1,1,エムティヒララ,牝3,52.0,▲鷲頭,1:49.3,4,9,179.0,40.2,1-1-1-2,栗東千田,418(0),0,1700,ダート,曇,良
1.0,8,11,エスカレイト,牝2,51.0,★小林美,1:10.7,,3,4.5,34.6,3-3,栗東小栗,436(0),1,1200,芝,曇,良
2.0,8,12,ストームサンダー,牡2,55.0,岩田康,1:10.9,1.1/4,10,59.6,34.9,1-1,栗東安達,452(0),1,1200,芝,曇,良
3.0,1,1,スミッコディスコ,牡2,55.0,横山和,1:10.9,クビ,4,9.8,33.6,11-8,美浦鈴木慎,438(0),1,1200,芝,曇,良
4.0,5,5,タヤスロレンヌ,牝2,55.0,丹内,1:11.1,1.1/2,1,2.3,34.9,3-4,美浦岩戸,456(0),0,1200,芝,曇,良
5.0,4,4,ヨッシーリオ,牡2,52.0,▲森田,1:11.4,1.1/2,7,33.4,34.5,7-7,栗東北出,446(0),0,1200,芝,曇,良
6.0,7,10,セイウンダイフク,牡2,55.0,武豊,1:11.7,1.3/4,2,4.0,35.7,2-2,栗東宮本,434(0),0,1200,芝,曇,良
7.0,7,9,ライフイズ,牝2,52.0,▲和田陽,1:12.0,1.3/4,12,107.4,35.6,5-6,美浦鈴木慎,410(0),0,1200,芝,曇,良
8.0,5,6,スカイピア,牝2,55.0,三浦,1:12.1,3/4,5,12.8,34.5,12-11,栗東前川,432(0),0,1200,芝,曇,良
9.0,6,7,クレインヴォイス,牡2,55.0,木幡巧,1:12.4,1.3/4,11,86.0,35.2,9-8,美浦相沢,444(0),0,1200,芝,曇,良
10.0,3,3,マジッククッキー,牡2,55.0,横山武,1:12.8,2.1/2,8,33.6,35.7,8-10,美浦加藤士,474(0),0,1200,芝,曇,良
11.0,6,8,ビップレオン,牡2,55.0,鮫島駿,1:12.9,3/4,9,59.1,36.6,5-4,美浦田島,472(0),0,1200,芝,曇,良
12.0,2,2,スピネルテソーロ,牝2,55.0,佐々木,1:13.8,5,6,14.1,36.6,9-12,美浦栗田,460(0),0,1200,芝,曇,良
1.0,4,8,サクラアドリア,牡3,57.0,武豊,1:48.0,,1,2.2,36.0,11-13-9-6,美浦尾関,490(+6),1,1800,芝,晴,良
2.0,5,9,ヤマノインパクト,牡3,57.0,斎藤,1:48.0,ハナ,9,29.9,35.9,8-10-10-10,美浦本間,462(0),1,1800,芝,晴,良
3.0,6,12,コスモマガラニカ,牡3,57.0,丹内,1:48.2,1.1/2,3,7.8,36.8,3-4-2-1,美浦加藤士,436(0),1,1800,芝,晴,良
4.0,1,2,セレニティ,牝3,52.0,▲古川奈,1:48.3,1/2,11,33.2,36.1,11-10-10-8,美浦鹿戸,384(+14),0,1800,芝,晴,良
5.0,7,14,ヴァルチャースター,牡3,57.0,北村友,1:48.4,3/4,7,16.9,35.6,16-16-16-12,栗東池添,448(+20),0,1800,芝,晴,良
6.0,1,1,ココモナカ,牝3,55.0,鮫島駿,1:48.4,クビ,10,32.9,36.1,15-14-13-10,美浦和田勇,410(-4),0,1800,芝,晴,良
7.0,2,3,ベールドインパクト,牡3,57.0,岩田康,1:48.6,1,8,24.2,36.8,6-5-5-4,美浦小島,456(+4),0,1800,芝,晴,良
8.0,6,11,キタノアンシェル,牝3,55.0,小林脩,1:48.6,アタマ,14,179.5,36.8,11-10-5-4,美浦蛯名利,416(+2),0,1800,芝,晴,良
9.0,2,4,ファンタズマ,牡3,57.0,横山和,1:49.0,2.1/2,2,5.2,37.4,3-3-3-3,美浦上原佑,454(-6),0,1800,芝,晴,良
10.0,4,7,ドバイミッション,牡3,57.0,菱田,1:49.1,クビ,5,14.0,37.3,6-5-5-8,栗東辻野,542(0),0,1800,芝,晴,良
11.0,3,5,キントラダンサー,牝3,55.0,横山武,1:49.4,2,4,8.0,38.1,1-1-1-2,栗東長谷川,472(+4),0,1800,芝,晴,良
12.0,5,10,ウェカピポ,牡3,53.0,★小林美,1:49.8,2.1/2,12,66.3,38.1,2-2-3-6,美浦矢嶋,490(-10),0,1800,芝,晴,良
13.0,3,6,インヘリット,牝3,52.0,▲川端,1:49.9,1/2,16,275.2,37.3,11-14-15-12,美浦金成,422(+2),0,1800,芝,晴,良
14.0,8,16,エルモッソペンドロ,牡3,54.0,▲鷲頭,1:50.1,3/4,15,225.2,37.8,8-8-13-16,栗東西村,418(-2),0,1800,芝,晴,良
15.0,8,15,レディオンステージ,牝3,55.0,佐々木,1:50.1,アタマ,6,15.2,38.3,5-5-5-12,栗東西園正,498(+2),0,1800,芝,晴,良
16.0,7,13,レーヌドフルール,牝3,52.0,▲和田陽,1:50.7,3.1/2,13,117.8,38.6,8-9-10-15,栗東西園正,470(+2),0,1800,芝,晴,良
1.0,8,11,クリノハレルヤ,牝4,53.0,▲森田,1:08.9,,9,25.4,35.3,1-1,栗東武英,478(-2),1,1200,芝,晴,良
2.0,6,6,ムチャスグラシアス,牝4,56.0,丹内,1:09.0,3/4,10,41.7,34.7,4-4,美浦菊川,440(+2),1,1200,芝,晴,良
3.0,7,8,キタノクニカラ,牝3,50.0,▲古川奈,1:09.2,1.1/4,5,16.2,34.4,8-8,美浦小島,390(+2),1,1200,芝,晴,良
4.0,1,1,エスペシャリー,牝3,53.0,横山和,1:09.3,3/4,1,2.1,35.4,2-2,栗東四位,446(+4),0,1200,芝,晴,良
5.0,5,5,グランテレーズ,牝4,56.0,鮫島駿,1:09.3,クビ,6,16.2,34.8,5-5,栗東渡辺,468(+24),0,1200,芝,晴,良
6.0,7,9,スウィートリワード,牝4,56.0,浜中,1:09.3,クビ,2,4.0,34.7,6-6,栗東宮本,460(0),0,1200,芝,晴,良
7.0,2,2,プロクレイア,牝3,50.0,▲和田陽,1:09.4,クビ,4,8.6,34.6,8-8,栗東小林,470(+16),0,1200,芝,晴,良
8.0,6,7,ソアラ,牝5,53.0,▲橋木,1:09.5,1/2,8,22.7,34.9,6-6,栗東高橋康,466(0),0,1200,芝,晴,良
9.0,3,3,デアデルマーレ,牝5,52.0,★小林美,1:09.7,1.1/4,7,18.9,33.9,11-11,栗東坂口,474(0),0,1200,芝,晴,良
10.0,8,10,フクシマコウヨウ,牝3,50.0,▲川端,1:09.9,1.1/4,11,114.7,34.7,10-10,美浦小島,446(+8),0,1200,芝,晴,良
11.0,4,4,ナムラエデン,牝4,53.0,▲鷲頭,1:09.9,クビ,3,7.8,35.9,2-3,栗東小栗,452(0),0,1200,芝,晴,良
1.0,8,11,チュウワクリスエス,牡3,51.0,★小林美,1:45.1,,1,2.6,40.2,1-1-1-1,美浦栗田,490(+4),1,1700,ダート,晴,良
2.0,7,9,ライフゲート,セ3,55.0,丹内,1:45.3,1,4,7.0,39.4,6-5-5-2,美浦伊藤圭,514(+2),1,1700,ダート,晴,良
3.0,1,1,ルルシュシュ,牝5,56.0,佐々木,1:45.4,3/4,7,36.0,39.4,6-5-5-5,美浦金成,496(-2),1,1700,ダート,晴,良
4.0,5,5,ショウナンアトレ,牡3,52.0,▲和田陽,1:46.1,4,10,121.5,39.3,8-7-9-8,栗東梅田,462(-6),0,1700,ダート,晴,良
5.0,7,8,ブルーカミング,牡3,52.0,▲古川奈,1:46.2,3/4,6,17.8,40.1,9-9-7-6,栗東牧浦,478(+12),0,1700,ダート,晴,良
6.0,3,3,コスモシェルベット,牡3,55.0,横山武,1:46.4,1.1/4,3,6.1,41.1,2-2-2-2,美浦水野,436(0),0,1700,ダート,晴,良
7.0,6,7,レイズトワイライト,牡4,58.0,横山和,1:46.7,1.1/2,8,53.9,39.7,11-11-10-9,美浦田村,496(+2),0,1700,ダート,晴,良
8.0,4,4,タイヨウフレア,牝3,53.0,木幡巧,1:47.2,3,9,70.3,41.0,10-10-7-9,美浦杉浦,494(-2),0,1700,ダート,晴,良
9.0,8,10,アレーティア,牝3,53.0,浜中,1:47.4,1.1/4,5,7.4,42.1,3-3-2-2,栗東田中克,496(-4),0,1700,ダート,晴,良
10.0,6,6,ダオラダオラ,セ5,55.0,▲森田,1:48.1,4,11,217.1,41.0,5-7-11-11,美浦加藤和,480(+10),0,1700,ダート,晴,良
11.0,2,2,ドゥラリス,牝3,53.0,吉田隼,1:50.1,大,2,3.2,44.4,3-4-4-6,栗東吉岡,514(+2),0,1700,ダート,晴,良
1.0,8,9,シュバルツマサムネ,牡3,55.0,北村友,1:59.1,,4,8.9,34.5,5-5-5-4,栗東杉山佳,472(+16),1,2000,芝,晴,良
2.0,1,1,レクスノヴァス,牡3,55.0,岩田康,1:59.1,クビ,1,2.7,34.1,9-9-8-5,栗東上村,494(+2),1,2000,芝,晴,良
3.0,7,7,マイネルゼウス,牡3,55.0,丹内,1:59.7,3.1/2,2,2.7,35.7,3-1-1-1,美浦奥村武,410(-2),1,2000,芝,晴,良
4.0,5,5,サングラデーション,牡5,58.0,佐々木,1:59.9,1.1/4,9,43.8,35.1,6-6-6-5,美浦千葉,438(-2),0,2000,芝,晴,良
5.0,4,4,トゥルブレンツ,牝5,56.0,斎藤,2:00.2,1.3/4,10,65.4,35.3,6-7-6-8,栗東小栗,446(+12),0,2000,芝,晴,良
6.0,3,3,タルタロス,牡4,58.0,黛,2:00.2,クビ,8,37.5,34.9,10-10-10-9,美浦天間,460(+2),0,2000,芝,晴,良
7.0,7,8,マイバラード,牡5,58.0,木幡巧,2:00.3,クビ,6,19.7,36.2,4-4-2-2,美浦松永康,476(0),0,2000,芝,晴,良
8.0,2,2,ウィンスタンリー,牡3,55.0,横山武,2:01.0,4,3,5.2,36.9,2-3-2-2,美浦黒岩,480(-10),0,2000,芝,晴,良
9.0,6,6,ボルケーノ,牡4,58.0,鮫島駿,2:01.1,3/4,7,20.9,36.0,8-8-8-10,美浦堀,552(+2),0,2000,芝,晴,良
10.0,8,10,エイトスターズ,牝5,56.0,吉田隼,2:01.6,3,5,15.2,37.4,1-2-4-5,栗東坂口,476(0),0,2000,芝,晴,良
1.0,8,11,ウェイトゥゴー,牝4,56.0,横山和,1:45.6,,1,2.3,37.2,11-10-8-6,栗東昆,466(-4),1,1700,ダート,晴,良
2.0,7,9,オールマキシマム,牝5,56.0,小林脩,1:46.0,2.1/2,2,4.5,37.9,9-9-6-6,美浦奥平,456(+2),1,1700,ダート,晴,良
3.0,7,8,ミレニアムヒロイン,牝4,56.0,木幡巧,1:46.5,3,10,31.6,38.6,4-3-4-2,美浦池上,438(+2),1,1700,ダート,晴,良
4.0,2,2,グレイスオブゴッド,牝5,56.0,古川吉,1:46.7,1.1/4,5,12.4,38.2,8-8-10-9,栗東緒方,478(-2),0,1700,ダート,晴,良
5.0,5,5,クォーツァイト,牝4,56.0,斎藤,1:46.8,1/2,6,13.7,39.1,2-2-2-1,美浦斎藤誠,468(-4),0,1700,ダート,晴,良
6.0,1,1,スカンジナビア,牝6,56.0,中井,1:46.8,ハナ,11,40.5,39.1,1-1-1-2,栗東安達,486(-2),0,1700,ダート,晴,良
7.0,4,4,ミッキーマカロン,牝5,56.0,菱田,1:46.9,クビ,3,7.5,38.5,7-7-8-9,栗東大久保,456(-2),0,1700,ダート,晴,良
8.0,8,10,セイウンマカロン,牝4,56.0,丹内,1:46.9,クビ,4,9.9,38.9,4-5-4-5,美浦千葉,446(-2),0,1700,ダート,晴,良
9.0,3,3,アンブロジアーナ,牝6,56.0,鮫島駿,1:47.1,1,9,20.4,38.6,10-10-10-9,美浦上原博,422(-6),0,1700,ダート,晴,良
10.0,6,6,ルージュシュエット,牝4,56.0,北村友,1:47.1,ハナ,8,17.3,39.3,3-3-3-4,栗東矢作,450(+8),0,1700,ダート,晴,良
11.0,6,7,チェイスザウェイ,牝5,56.0,黛,1:47.9,5,7,17.0,39.6,6-6-7-8,美浦伊藤圭,474(+6),0,1700,ダート,晴,良
1.0,5,8,ヴェローチェエラ,牡4,56.0,佐々木,1:57.6,,10,13.0,34.7,8-10-9-2,栗東須貝,496(+2),1,2000,芝,晴,良
2.0,3,3,ハヤテノフクノスケ,牡4,56.0,横山武,1:57.9,1.1/2,6,9.0,35.3,4-4-4-5,栗東中村,532(-4),1,2000,芝,晴,良
3.0,7,12,マイネルメモリー,牡5,55.0,菱田,1:57.9,クビ,14,73.5,34.2,14-14-14-14,栗東宮,466(+2),1,2000,芝,晴,良
4.0,5,7,ディマイザキッド,牡4,56.0,岩田康,1:58.0,3/4,1,6.5,34.5,13-13-13-11,美浦清水英,460(0),0,2000,芝,晴,良
5.0,7,11,ランスオブクイーン,牝4,54.0,斎藤,1:58.1,クビ,8,11.8,35.2,7-7-9-8,栗東奥村豊,450(+4),0,2000,芝,晴,良
6.0,6,9,アルナシーム,牡6,59.0,藤岡佑,1:58.2,3/4,9,11.9,35.0,9-12-11-11,栗東橋口,452(+6),0,2000,芝,晴,良
7.0,4,6,サンストックトン,牡6,55.0,浜中,1:58.5,1.3/4,13,47.8,35.4,12-11-11-11,美浦堀内,468(0),0,2000,芝,晴,良
8.0,4,5,ボーンディスウェイ,牡6,57.0,木幡巧,1:58.7,1.1/4,7,10.7,36.3,3-3-2-2,美浦牧,498(-4),0,2000,芝,晴,良
9.0,3,4,キミノナハマリア,牝5,54.0,鮫島駿,1:58.7,クビ,11,16.2,36.1,4-4-4-5,栗東千田,512(+6),0,2000,芝,晴,良
10.0,8,14,トップナイフ,牡5,57.0,横山和,1:59.2,3,4,7.9,36.8,2-2-2-2,栗東昆,492(0),0,2000,芝,晴,良
11.0,8,13,マコトヴェリーキー,牡5,57.0,北村友,1:59.3,クビ,2,7.3,36.6,4-4-4-5,栗東上村,472(+6),0,2000,芝,晴,良
12.0,1,1,マイネルモーント,牡5,56.0,丹内,1:59.3,ハナ,3,7.4,36.5,9-7-7-8,美浦高木,466(-6),0,2000,芝,晴,良
13.0,6,10,グランディア,セ6,56.0,三浦,1:59.3,クビ,5,8.5,36.5,9-7-7-8,栗東中内田,480(-4),0,2000,芝,晴,良
14.0,2,2,アウスヴァール,セ7,55.0,古川吉,1:59.7,2,12,25.4,37.5,1-1-1-1,栗東昆,486(-6),0,2000,芝,晴,良
1.0,7,12,トウカイファクター,セ6,58.0,木幡巧,1:08.7,,11,34.2,34.3,1-1,美浦菊川,464(-4),1,1200,芝,晴,良
2.0,4,6,トウカイエルデ,牡4,58.0,鮫島駿,1:08.9,1.1/2,4,5.6,33.8,3-3,栗東茶木,452(-4),1,1200,芝,晴,良
3.0,8,14,ニタモノドウシ,牡3,55.0,北村友,1:09.0,3/4,2,4.6,33.6,5-6,美浦高木,468(0),1,1200,芝,晴,良
4.0,6,10,モジャーリオ,牡3,55.0,斎藤,1:09.2,1,1,3.7,33.9,4-4,美浦斎藤誠,462(-2),0,1200,芝,晴,良
5.0,7,11,スイミーユニバンス,牝5,56.0,藤岡佑,1:09.4,1.1/4,8,24.5,33.5,11-10,栗東平田,436(-4),0,1200,芝,晴,良
6.0,5,7,スーパーマン,牡5,58.0,菱田,1:09.4,クビ,13,49.9,33.7,8-9,美浦岩戸,490(-2),0,1200,芝,晴,良
7.0,6,9,アップストローク,セ6,58.0,浜中,1:09.4,ハナ,6,13.8,33.5,11-13,美浦杉浦,462(0),0,1200,芝,晴,良
8.0,2,2,アスクエピソード,牡5,58.0,丹内,1:09.5,1/2,5,13.7,34.1,5-5,栗東藤原,470(-8),0,1200,芝,晴,良
9.0,3,4,タイキヴァンクール,牡4,58.0,古川吉,1:09.5,クビ,3,5.0,34.0,7-7,栗東中尾,526(+2),0,1200,芝,晴,良
10.0,5,8,キングクー,牡6,58.0,川又,1:09.6,1/2,10,32.0,33.7,11-13,美浦根本,526(-4),0,1200,芝,晴,良
11.0,8,13,タイキエクセロン,牡6,58.0,佐々木,1:09.7,クビ,12,37.1,34.8,2-2,栗東西園翔,506(-2),0,1200,芝,晴,良
12.0,3,3,マルプリ,牝5,56.0,小林脩,1:09.7,クビ,7,19.2,34.0,8-10,美浦青木,474(-2),0,1200,芝,晴,良
13.0,4,5,パレフォーコン,牡6,58.0,岩田康,1:09.7,アタマ,9,30.2,34.0,8-7,栗東前川,456(-2),0,1200,芝,晴,良
14.0,1,1,シックザイン,牡6,58.0,小林美,1:10.0,1.3/4,14,77.9,34.0,14-10,美浦水野,478(-4),0,1200,芝,晴,良
1.0,5,8,エウテルペ,牝3,55.0,戸崎圭,1:47.4,,2,3.1,38.3,2-2-2-2,美浦和田郎,456(-4),1,1700,ダート,晴,良
2.0,7,12,リックメイン,牝3,55.0,ルメー,1:47.5,3/4,1,2.6,38.3,3-3-3-3,美浦武井,438(-2),1,1700,ダート,晴,良
3.0,2,2,ブラックモノリス,牝3,55.0,菊沢,1:48.2,4,8,48.2,39.2,1-1-1-1,美浦青木,472(+10),1,1700,ダート,晴,良
4.0,3,4,イザベルソレイユ,牝3,55.0,津村,1:48.4,1.1/4,3,4.1,39.1,3-3-3-3,美浦小西,476(-6),0,1700,ダート,晴,良
5.0,1,1,ドリームパンジャ,牝3,52.0,▲石神道,1:48.6,3/4,6,16.6,38.8,9-8-10-8,美浦金成,406(-6),0,1700,ダート,晴,良
6.0,3,5,カサビセンス,牝3,55.0,原,1:48.8,1.1/2,4,11.3,38.8,12-11-12-12,美浦加藤士,436(-6),0,1700,ダート,晴,良
7.0,4,7,サンマルレーヴ,牝3,55.0,岩部,1:49.1,2,7,30.8,39.6,5-5-6-5,美浦和田勇,424(-8),0,1700,ダート,晴,良
8.0,6,11,ノースカトレア,牝3,55.0,野中,1:49.5,2,5,14.3,39.9,8-8-9-8,美浦和田勇,504(-2),0,1700,ダート,晴,良
9.0,5,9,ウィズマイマミー,牝3,55.0,杉原,1:49.7,1.1/4,13,203.4,39.7,13-13-12-10,美浦田村,430(+6),0,1700,ダート,晴,良
10.0,2,3,プレイアブルゲーム,牝3,55.0,丸田,1:49.7,クビ,14,330.8,40.2,5-5-6-5,美浦小笠,424(-2),0,1700,ダート,晴,良
11.0,4,6,インマイハート,牝3,55.0,武藤,1:50.1,2,11,141.3,39.8,14-14-14-13,美浦水野,442(-2),0,1700,ダート,晴,良
12.0,8,15,タニセンダイヤ,牝3,52.0,▲石田,1:50.2,3/4,10,124.5,39.7,15-15-15-15,美浦根本,508(+7),0,1700,ダート,晴,良
13.0,6,10,ミルキーハニー,牝3,52.0,▲遠藤,1:51.5,8,9,70.9,42.1,5-5-5-5,美浦尾形,490(+8),0,1700,ダート,晴,良
14.0,7,13,スアーウィス,牝3,55.0,江田照,1:51.7,1,12,149.5,41.9,11-11-10-13,美浦水野,476(-6),0,1700,ダート,晴,良
15.0,8,14,シャンドネージュ,牝3,55.0,伊藤,1:52.4,4,15,354.5,42.9,9-10-6-10,美浦青木,486(-16),0,1700,ダート,晴,良
1.0,1,2,ラーシャローム,牡3,57.0,石川,2:40.6,,11,76.2,35.7,11-11-11-9,美浦奥村武,482(+2),1,2600,芝,晴,良
2.0,8,16,キロノヴァ,牡3,57.0,大野,2:40.6,ハナ,12,143.5,35.5,12-13-14-12,美浦萩原,434(-4),1,2600,芝,晴,良
3.0,3,5,ロンギングジェニー,牝3,55.0,丸田,2:40.8,1.1/2,6,23.8,36.1,7-8-7-9,美浦大竹,466(0),1,2600,芝,晴,良
4.0,2,3,マイネルフィスキオ,牡3,54.0,▲石神道,2:40.9,クビ,3,9.5,36.2,16-16-7-6,美浦佐藤吉,408(-10),0,2600,芝,晴,良
5.0,8,15,ポッポノフェスタ,牡3,57.0,西村太,2:41.0,3/4,5,14.8,36.3,9-9-7-6,美浦堀内,454(0),0,2600,芝,晴,良
6.0,4,7,モンツァフレイバー,牡3,57.0,野中,2:41.0,クビ,16,304.5,36.0,9-9-12-9,美浦久保田,450(-4),0,2600,芝,晴,良
7.0,5,10,トーセンカタルシス,牡3,57.0,内田博,2:41.3,2,15,247.6,35.6,14-14-15-15,美浦小笠,452(-2),0,2600,芝,晴,良
8.0,4,8,ボスポラス,牡3,57.0,吉田豊,2:41.4,1/2,13,229.1,35.6,14-14-15-15,美浦和田郎,464(+10),0,2600,芝,晴,良
9.0,3,6,マイネルラファール,牡3,57.0,柴田大,2:41.5,クビ,10,61.6,37.3,3-4-2-1,美浦畠山,468(+4),0,2600,芝,晴,良
10.0,7,13,リアライズハロック,牡3,57.0,原,2:41.5,クビ,8,35.8,37.1,6-6-4-3,美浦池上,474(+4),0,2600,芝,晴,良
11.0,2,4,タナハシ,牡3,57.0,菊沢,2:41.9,2,4,11.3,37.7,2-2-2-3,美浦伊坂,504(+8),0,2600,芝,晴,良
12.0,5,9,ウインオアシス,牡3,57.0,松岡,2:41.9,アタマ,2,5.6,37.5,7-6-4-3,美浦畠山,504(+6),0,2600,芝,晴,良
13.0,1,1,ナヴァラトゥナ,牡3,57.0,ルメー,2:41.9,アタマ,1,1.5,37.5,5-4-4-6,美浦上原佑,436(+4),0,2600,芝,晴,良
14.0,6,12,レジーナシルバルム,牝3,55.0,荻野極,2:42.6,4,9,47.3,38.5,1-1-1-2,美浦武井,462(-6),0,2600,芝,晴,良
15.0,7,14,ルディシャ,牡3,54.0,▲石田,2:43.5,5,14,245.8,38.8,3-3-7-13,美浦根本,460(-4),0,2600,芝,晴,良
16.0,6,11,デンジエンド,牡3,57.0,小沢,2:44.4,5,7,24.8,39.4,12-11-12-13,美浦小島,434(+4),0,2600,芝,晴,良
1.0,6,11,ラストレガシー,牡3,57.0,田辺,1:45.9,,1,2.2,36.8,3-3-1-2,美浦手塚久,484(-6),1,1700,ダート,晴,良
2.0,8,14,キタノマーシャル,牝3,55.0,津村,1:46.6,4,8,37.4,37.5,2-2-2-1,美浦奥平,502(-2),1,1700,ダート,晴,良
3.0,3,4,タキノボリ,牡3,57.0,戸崎圭,1:46.7,1/2,3,5.7,37.6,9-8-2-3,美浦勢司,460(+6),1,1700,ダート,晴,良
4.0,8,15,フロウオブタイム,牝3,55.0,石橋脩,1:47.8,7,6,21.0,38.4,4-6-5-5,美浦大和田,438(-2),0,1700,ダート,晴,良
5.0,4,6,ベネスピラ,牡3,57.0,荻野極,1:48.1,1.3/4,4,6.6,38.5,4-4-7-7,美浦鹿戸,450(-4),0,1700,ダート,晴,良
6.0,2,2,ボンズドゥッカ,牡3,57.0,野中,1:48.3,1.1/4,2,5.2,38.6,14-14-7-6,美浦西田,536(+2),0,1700,ダート,晴,良
7.0,1,1,レヴァントリ,牡3,57.0,原,1:48.4,3/4,7,21.1,38.5,8-8-10-9,美浦大和田,480(+6),0,1700,ダート,晴,良
8.0,5,8,ブレゲアン,牡3,57.0,江田照,1:48.5,クビ,14,160.2,38.4,12-11-13-13,美浦田村,462(-2),0,1700,ダート,晴,良
9.0,4,7,ユーウェイン,牡3,57.0,丸田,1:48.5,クビ,12,141.2,39.0,14-14-5-9,美浦高橋文,452(+12),0,1700,ダート,晴,良
10.0,2,3,アストラン,セ3,56.0,☆横山琉,1:48.6,1/2,9,38.2,38.4,12-13-13-9,美浦斎藤誠,468(-8),0,1700,ダート,晴,良
11.0,5,9,フェリアフローレス,牝3,55.0,小林凌,1:48.8,3/4,11,79.6,39.6,1-1-2-4,美浦小西,418(-4),0,1700,ダート,晴,良
12.0,6,10,サーフプラチナム,牝3,55.0,内田博,1:49.0,1,10,60.2,39.1,9-11-10-12,美浦古賀,470(+8),0,1700,ダート,晴,良
13.0,3,5,ノースグロリア,牡3,57.0,小沢,1:49.0,クビ,5,12.0,39.3,4-4-7-7,美浦加藤士,502(0),0,1700,ダート,晴,良
14.0,7,12,ノーブルプライム,牡3,54.0,▲土田,1:49.8,5,15,167.9,39.3,9-10-15-15,美浦田村,458(-1),0,1700,ダート,晴,良
15.0,7,13,イーサンペガサス,牝3,52.0,▲石田,1:50.0,1.1/4,13,158.4,40.0,7-6-10-13,美浦田中勝,484(-8),0,1700,ダート,晴,良
1.0,1,1,レイヤードレッド,牡3,57.0,嶋田,2:02.2,,3,4.3,35.0,3-3-3-4,美浦手塚久,470(-6),1,2000,芝,晴,良
2.0,4,7,ムーンストラック,牝3,55.0,江田照,2:02.4,1.1/4,4,7.0,34.8,4-5-8-8,美浦武市,446(-2),1,2000,芝,晴,良
3.0,3,5,クレプスクルム,牡3,57.0,ルメー,2:02.6,1,2,3.4,35.6,1-1-1-1,美浦上原博,458(-6),1,2000,芝,晴,良
4.0,4,6,ヴィジョンメーカー,牡3,57.0,内田博,2:02.6,アタマ,5,8.3,35.2,11-9-6-6,美浦林,518(-4),0,2000,芝,晴,良
5.0,5,9,マイネルボス,牡3,57.0,柴田大,2:02.6,ハナ,12,103.4,35.2,4-3-6-6,美浦伊藤大,432(-4),0,2000,芝,晴,良
6.0,6,10,コインアフレーズ,牝3,55.0,石橋脩,2:02.7,1/2,6,34.8,35.5,2-2-3-2,美浦中舘,440(-2),0,2000,芝,晴,良
7.0,7,12,ガーンディーヴァ,牝3,52.0,▲石神道,2:02.8,3/4,11,97.2,35.1,6-6-9-9,美浦柄崎,416(-4),0,2000,芝,晴,良
8.0,2,2,リワードパシオン,牡3,57.0,菊沢,2:02.8,アタマ,10,88.8,34.6,9-9-12-12,美浦勢司,446(-6),0,2000,芝,晴,良
9.0,2,3,マイネルトラオム,牡3,57.0,戸崎圭,2:03.0,1.1/4,1,2.9,35.1,6-6-11-11,美浦深山,466(-6),0,2000,芝,晴,良
10.0,6,11,シャイニーセーラー,牝3,54.0,☆横山琉,2:03.0,ハナ,9,61.2,35.8,14-15-3-4,美浦相沢,458(-6),0,2000,芝,晴,良
