着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,8,14,ジオフロント,牡7,57.0,▲鷲頭,3:27.3,,5,8.1,13.8,3-3-2-2,栗東清水久,480(+4),1,3000,芝,晴,良
2.0,5,8,プラチナトレジャー,牡7,60.0,伴,3:27.3,ハナ,2,3.0,13.8,6-7-3-3,美浦国枝,490(0),1,3000,芝,晴,良
3.0,4,6,コンクエスト,セ6,60.0,石神深,3:27.8,3,6,13.4,13.9,1-1-1-1,美浦小笠,500(+12),1,3000,芝,晴,良
4.0,4,5,ウィズユアドリーム,牡5,60.0,高田,3:28.6,5,3,7.7,13.9,3-3-3-3,栗東宮地,512(+8),0,3000,芝,晴,良
5.0,3,3,ネイチャーシップ,牡7,60.0,大江圭,3:28.9,1.3/4,1,2.9,13.9,6-5-6-5,美浦根本,508(+4),0,3000,芝,晴,良
6.0,2,2,タイセイジャスパー,セ6,60.0,難波,3:29.1,1.1/4,11,87.0,13.9,9-9-9-8,美浦伊藤圭,492(0),0,3000,芝,晴,良
7.0,1,1,スペクトログラム,牡6,60.0,小牧加,3:29.8,4,4,8.0,14.0,6-7-5-5,栗東池江,512(-6),0,3000,芝,晴,良
8.0,3,4,コスモエスメラルダ,牝4,57.0,▲土田,3:30.0,1.1/4,9,59.7,14.0,9-9-6-5,美浦土田,510(-2),0,3000,芝,晴,良
9.0,7,12,ゴールデンルーキー,牡4,60.0,江田勇,3:30.2,1.1/4,12,106.7,14.0,5-5-6-8,美浦粕谷,476(+6),0,3000,芝,晴,良
10.0,5,7,ヘザルフェン,牡4,60.0,小坂,3:30.3,1/2,8,43.1,14.0,11-11-11-11,栗東昆,500(+8),0,3000,芝,晴,良
11.0,7,11,スカパラダイス,牡5,60.0,五十嵐,3:32.7,大,14,157.7,14.2,11-11-10-10,美浦大和田,468(+8),0,3000,芝,晴,良
12.0,6,9,アルマドラード,セ7,60.0,上野,3:36.3,大,7,24.3,14.4,2-2-12-12,美浦小笠,536(+2),0,3000,芝,晴,良
,6,10,ウェイトゥザドーン,セ4,60.0,金子,,,10,77.1,,,美浦戸田,466(+8),0,3000,芝,晴,良
,8,13,マーゴットメネス,牡4,57.0,▲水沼,,,13,127.2,,,美浦伊坂,482(-4),0,3000,芝,晴,良
1.0,8,16,ブルージュ,牝3,55.0,ルメー,1:25.5,,1,2.8,37.0,8-7,美浦栗田,436(0),1,1400,ダート,晴,良
2.0,7,13,ウインレアリゼ,牝3,52.0,▲石神道,1:25.9,2.1/2,5,21.9,36.8,12-12,美浦小手川,464(+4),1,1400,ダート,晴,良
3.0,1,2,アドリアフレイバー,牝3,55.0,戸崎圭,1:26.0,1/2,2,3.3,38.0,1-1,美浦久保田,478(-6),1,1400,ダート,晴,良
