着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,2,2,エンヴィーミー,牝2,55.0,三浦,1:08.8,,2,5.6,35.2,1-1,栗東森秀,452(0),1,1200,芝,晴,良
2.0,4,4,フクチャンショウ,牡2,55.0,戸崎圭,1:09.2,2.1/2,5,14.9,34.7,7-3,美浦加藤征,430(0),1,1200,芝,晴,良
3.0,8,9,カレンデュラ,牝2,55.0,丸田,1:09.5,2,4,8.8,35.8,2-2,美浦南田,418(+2),1,1200,芝,晴,良
4.0,3,3,スレドナゴラ,牝2,52.0,▲石田,1:09.8,1.1/2,7,46.6,35.3,7-8,美浦田中勝,450(+2),0,1200,芝,晴,良
5.0,7,7,リュウノエッセンス,牝2,52.0,▲遠藤,1:10.1,2,9,64.3,34.9,9-9,美浦伊藤伸,432(-4),0,1200,芝,晴,良
6.0,5,5,フォトンゲイザー,牡2,55.0,石橋脩,1:10.2,1/2,3,6.5,36.2,5-6,美浦牧,424(+2),0,1200,芝,晴,良
7.0,1,1,アレステソーロ,牡2,55.0,柴田大,1:10.3,3/4,6,41.9,36.3,5-6,美浦田中剛,460(-4),0,1200,芝,晴,良
8.0,6,6,ナムラリアン,牝2,55.0,武藤,1:11.3,6,8,54.5,37.4,4-3,美浦武藤,398(-8),0,1200,芝,晴,良
9.0,8,10,ベルバード,牝2,55.0,ルメー,1:12.0,4,1,1.5,38.2,2-3,美浦武井,442(+4),0,1200,芝,晴,良
10.0,7,8,マジックショー,牡2,55.0,内田博,1:14.3,大,10,272.5,37.6,10-10,美浦奥平,434(+6),0,1200,芝,晴,良
1.0,2,3,アドリアフレイバー,牝3,55.0,田辺,1:08.6,,2,3.0,37.0,1-1,美浦久保田,472(-6),1,1150,ダート,晴,良
2.0,1,1,フラッシュポイント,牝3,55.0,戸崎圭,1:09.6,6,1,1.8,37.7,4-3,美浦西田,496(+12),1,1150,ダート,晴,良
3.0,4,8,ダイメイナガス,牝3,55.0,菊沢,1:09.6,ハナ,9,124.2,37.9,2-2,美浦本間,460(0),1,1150,ダート,晴,良
4.0,1,2,ベンメリア,セ3,57.0,丸田,1:09.9,2,6,38.8,37.3,8-7,美浦高橋文,476(-8),0,1150,ダート,晴,良
5.0,8,16,ポム,牝3,55.0,菅原明,1:10.0,1/2,5,24.5,38.2,3-3,美浦奥村武,442(0),0,1150,ダート,晴,良
6.0,5,9,ジルクン,牡3,57.0,津村,1:10.4,2,4,14.8,38.4,5-5,美浦鈴木慎,410(0),0,1150,ダート,晴,良
7.0,3,6,トッレブランカ,牡3,57.0,石橋脩,1:10.5,1/2,7,43.2,37.8,9-8,美浦中舘,474(0),0,1150,ダート,晴,良
8.0,4,7,ブラックエンパイア,牡3,57.0,木幡育,1:10.9,2.1/2,11,171.7,38.7,6-6,美浦松永康,480(+8),0,1150,ダート,晴,良
9.0,3,5,スパーブケン,牡3,57.0,嶋田,1:11.2,2,12,201.1,38.0,10-10,美浦水野,520(-4),0,1150,ダート,晴,良
10.0,6,11,フィアマドラータ,セ3,54.0,▲土田,1:12.1,5,14,270.1,38.1,14-13,美浦池上,444(-12),0,1150,ダート,晴,良
11.0,7,13,ゴールドジャケット,牡3,57.0,内田博,1:12.1,クビ,8,108.7,37.6,15-15,美浦上原博,554(0),0,1150,ダート,晴,良
12.0,7,14,ケイツータンカ,牡3,53.0,★谷原,1:12.2,クビ,13,226.0,38.8,11-11,美浦清水英,454(0),0,1150,ダート,晴,良
13.0,8,15,カルデライト,牝3,54.0,☆横山琉,1:12.2,ハナ,3,5.6,39.8,7-8,美浦柄崎,444(-6),0,1150,ダート,晴,良
14.0,2,4,ビアルベーロ,牡3,57.0,原,1:12.8,3.1/2,10,156.3,39.1,12-11,美浦加藤士,518(0),0,1150,ダート,晴,良
15.0,5,10,カークスマイル,牝3,52.0,▲石田,1:12.9,3/4,15,448.1,39.2,12-14,美浦中川,418(-2),0,1150,ダート,晴,良
,6,12,チャレッソ,牡3,57.0,岩部,,,16,477.8,,,美浦南田,546(0),0,1150,ダート,晴,良
1.0,7,12,ベルチュガダン,牝3,55.0,丸山,1:47.2,,2,3.6,40.4,1-1-1-1,美浦矢嶋,462(+2),1,1700,ダート,晴,良
