着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,2,3,ロフティストーリー,牝3,55.0,田辺,1:38.0,,2,4.9,36.8,6-7,美浦久保田,502(+6),1,1600,ダート,曇,良
2.0,7,13,マキャベリー,牝3,55.0,菅原明,1:38.2,1.1/4,4,10.1,37.1,6-6,美浦黒岩,472(0),1,1600,ダート,曇,良
3.0,5,9,サンタアニタ,牝3,55.0,レーン,1:38.3,クビ,1,1.9,37.3,3-3,美浦斎藤誠,470(0),1,1600,ダート,曇,良
4.0,3,5,ドリームパンジャ,牝3,52.0,▲石神道,1:38.4,1,12,206.3,36.8,9-9,美浦金成,412(-2),0,1600,ダート,曇,良
5.0,6,11,クロウソング,牝3,55.0,丸山,1:38.5,3/4,5,13.4,36.2,13-13,美浦千葉,454(+2),0,1600,ダート,曇,良
6.0,4,8,アルマリカシバ,牝3,55.0,大野,1:38.7,1.1/4,9,48.6,37.8,3-3,美浦中舘,462(+4),0,1600,ダート,曇,良
7.0,5,10,シックスレイヴンズ,牝3,55.0,木幡巧,1:38.8,クビ,15,340.6,38.1,1-1,美浦岩戸,448(0),0,1600,ダート,曇,良
8.0,8,16,アウスラフラッグ,牝3,55.0,菊沢,1:39.3,3,13,214.5,38.6,2-2,美浦高柳瑞,466(-6),0,1600,ダート,曇,良
9.0,7,14,ヌンルチル,牝3,55.0,石橋脩,1:39.9,3.1/2,10,89.4,39.0,3-3,美浦勢司,468(+2),0,1600,ダート,曇,良
10.0,1,1,クインズエクレア,牝3,55.0,津村,1:40.1,1.1/2,3,5.8,38.1,9-11,美浦加藤征,474(0),0,1600,ダート,曇,良
11.0,3,6,シャイニーセーラー,牝3,54.0,☆横山琉,1:41.1,6,11,111.0,38.3,14-14,美浦相沢,464(0),0,1600,ダート,曇,良
12.0,4,7,ミッキーキャンディ,牝3,55.0,ディー,1:41.2,1/2,7,22.4,40.0,6-7,美浦国枝,552(0),0,1600,ダート,曇,良
13.0,2,4,ペイシャヴァルスリ,牝3,55.0,江田照,1:41.7,3,16,506.2,39.7,12-11,美浦菊川,420(+22),0,1600,ダート,曇,良
14.0,8,15,ポリアンセモス,牝3,55.0,内田博,1:42.1,2,6,18.7,39.3,16-14,美浦辻,466(+4),0,1600,ダート,曇,良
15.0,6,12,フリューゲルカフェ,牝3,55.0,北村宏,1:42.1,クビ,14,295.4,39.4,14-14,美浦古賀,424(0),0,1600,ダート,曇,良
16.0,1,2,ハリーフラッグ,牝3,55.0,石川,1:43.2,7,8,40.5,41.5,9-9,美浦木村,556(0),0,1600,ダート,曇,良
