着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,7,10,マホロバ,牡5,60.0,草野,3:23.8,,2,3.4,13.6,4-4-4-4,美浦和田郎,514(+4),1,3000,芝,晴,良
2.0,7,9,ヴラディア,牡6,60.0,大江圭,3:24.0,1.1/2,10,36.0,13.6,3-3-2-3,美浦小西,492(-4),1,3000,芝,晴,良
3.0,3,3,マオノアラシ,牡5,60.0,石神深,3:24.1,3/4,1,2.3,13.6,7-7-8-8,美浦加藤士,496(0),1,3000,芝,晴,良
4.0,1,1,ジーティーオウジャ,セ4,57.0,▲水沼,3:24.3,1.1/4,3,9.9,13.6,5-4-4-4,美浦石栗,516(+8),0,3000,芝,晴,良
5.0,5,6,テトラード,牡4,60.0,小野寺,3:24.6,1.3/4,8,30.2,13.6,8-8-7-6,栗東坂口,474(+6),0,3000,芝,晴,良
6.0,4,4,アルカンサス,牡6,57.0,▲土田,3:25.0,2,9,30.2,13.7,5-4-2-1,美浦土田,488(0),0,3000,芝,晴,良
7.0,8,11,キャプテンローレル,牡6,60.0,五十嵐,3:26.1,7,12,61.3,13.7,1-1-1-2,美浦田村,474(-4),0,3000,芝,晴,良
8.0,6,7,アスプリージャ,牡4,60.0,金子,3:26.7,3.1/2,4,10.0,13.8,9-9-8-9,美浦中舘,486(+10),0,3000,芝,晴,良
9.0,8,12,サトノグレイト,セ5,60.0,黒岩,3:27.2,3.1/2,6,13.5,13.8,2-2-4-7,栗東中竹,490(0),0,3000,芝,晴,良
,2,2,コスモゴレアドール,牡6,60.0,伴,,,11,39.3,,,美浦土田,438(+6),0,3000,芝,晴,良
,5,5,テーオーサンドニ,牡6,60.0,中村,,,5,11.8,,,栗東高柳大,484,0,3000,芝,晴,良
,6,8,バンクサイド,牡5,60.0,上野,,,7,23.8,,,美浦竹内,524(+8),0,3000,芝,晴,良
1.0,4,8,ワスカル,セ3,57.0,丸山,1:36.9,,4,10.4,36.9,1-1,美浦森一,506(-10),1,1600,ダート,晴,良
2.0,4,7,サトノアルタイル,牡3,57.0,戸崎圭,1:37.4,3,5,12.1,36.9,5-5,美浦斎藤誠,500(+2),1,1600,ダート,晴,良
3.0,8,16,ミクニサンシャイン,牡3,57.0,田辺,1:37.5,クビ,1,2.5,37.3,2-2,美浦久保田,522(0),1,1600,ダート,晴,良
4.0,7,13,ブレイクバウンズ,牡3,57.0,伊藤,1:38.0,3,7,19.4,37.8,2-2,美浦林,486(+4),0,1600,ダート,晴,良
5.0,5,9,カーフキック,牡3,57.0,レーン,1:38.0,ハナ,2,3.5,36.8,12-11,美浦高橋文,446(0),0,1600,ダート,晴,良
6.0,1,2,マイネルアース,牡3,57.0,木幡巧,1:38.1,1/2,11,39.9,37.5,5-5,美浦金成,470(-4),0,1600,ダート,晴,良
7.0,3,5,リュトン,牡3,57.0,原,1:38.4,2,6,16.8,37.2,14-11,美浦蛯名正,468(-2),0,1600,ダート,晴,良
8.0,6,11,ダイタエリュシオン,牡3,57.0,杉原,1:38.4,アタマ,8,24.0,36.9,14-15,美浦土田,460(-4),0,1600,ダート,晴,良
9.0,8,15,ブランディストック,セ3,57.0,菅原明,1:38.5,クビ,3,8.3,37.4,8-9,美浦辻,486(-2),0,1600,ダート,晴,良
10.0,2,3,ゴールドブリーダー,牡3,57.0,内田博,1:39.2,4,9,27.6,38.9,2-4,美浦千葉,470(-8),0,1600,ダート,晴,良
11.0,5,10,ナイトダンサー,牡3,54.0,▲石神道,1:39.3,1/2,12,68.7,38.1,10-11,美浦佐藤吉,442(-4),0,1600,ダート,晴,良
12.0,3,6,バレアリックシー,セ3,54.0,▲石田,1:39.7,2.1/2,13,165.3,37.6,16-16,美浦菊沢,462(-18),0,1600,ダート,晴,良
13.0,1,1,ネバーランドリーム,牝3,55.0,小林凌,1:39.7,アタマ,10,30.4,38.7,10-9,美浦尾形,410(-6),0,1600,ダート,晴,良
14.0,6,12,ブラックレッド,牡3,54.0,▲佐藤,1:39.7,クビ,15,186.3,38.9,5-7,美浦松山,478(+4),0,1600,ダート,晴,良
15.0,2,4,ゴールドリバース,牡3,57.0,丸田,1:40.0,1.1/2,14,183.2,39.2,8-7,美浦田中勝,510(0),0,1600,ダート,晴,良
16.0,7,14,ワンダーレイザー,牡3,57.0,柴田大,1:40.5,3,16,234.7,39.2,12-14,美浦畠山,532(+10),0,1600,ダート,晴,良
1.0,3,6,ブルージャイアント,牡3,57.0,原,2:12.6,,5,6.2,37.3,8-8-7-6,美浦蛯名正,542(-4),1,2100,ダート,晴,良
2.0,6,11,マブアンドフェール,牡3,57.0,津村,2:12.9,1.3/4,1,3.9,37.8,4-5-4-4,美浦古賀,518(-2),1,2100,ダート,晴,良
3.0,7,13,ダブルメッセージ,牡3,57.0,石川,2:12.9,アタマ,8,16.9,38.0,3-3-3-3,美浦和田郎,486(+2),1,2100,ダート,晴,良
4.0,4,8,ホークライト,セ3,57.0,岩田望,2:13.3,2.1/2,2,4.6,38.5,2-2-2-2,美浦中舘,478(-8),0,2100,ダート,晴,良
5.0,2,3,ブラザービート,牡3,57.0,内田博,2:13.6,1.3/4,6,10.6,38.4,7-6-7-6,美浦奥村武,532(+12),0,2100,ダート,晴,良
6.0,3,5,クックパイン,牡3,57.0,レーン,2:14.7,7,3,5.8,39.6,6-7-4-4,美浦堀,516(+2),0,2100,ダート,晴,良
7.0,1,1,アルデツヨシ,セ3,57.0,ディー,2:14.7,アタマ,7,15.4,40.0,1-1-1-1,美浦田中剛,468(+2),0,2100,ダート,晴,良
8.0,8,15,エマージェンス,牡3,57.0,戸崎圭,2:15.1,2,4,6.2,39.1,12-12-10-9,美浦堀内,500(-10),0,2100,ダート,晴,良
